target_date,actual_up,score,future_log_return,stage1_predicted_move,high_volatility,predicted_up,correct,outer_fold
2014-03-26,0,0.728782057762146,-0.007218283562339287,True,False,1,False,2
2014-03-28,1,0.5488258600234985,0.004918018095382473,True,False,1,True,2
2014-03-31,1,0.667655348777771,0.0081610601340628,True,False,1,True,2
2014-04-01,1,0.5438879132270813,0.006608804693012863,True,False,1,True,2
2014-04-04,0,0.6628133654594421,-0.01189258073598757,True,False,1,False,2
2014-04-07,0,0.46268486976623535,-0.011113010807849042,True,False,0,True,2
2014-04-09,1,0.5004926323890686,0.010693512369671362,True,False,0,False,2
2014-04-10,0,0.47965776920318604,-0.021229657140335145,True,False,0,True,2
2014-04-11,0,0.5222690105438232,-0.009049389440753466,True,False,0,True,2
2014-04-14,1,0.504795253276825,0.00784752523142513,True,False,0,False,2
2014-04-15,1,0.636323094367981,0.006863863679962793,True,False,1,True,2
2014-04-16,1,0.6434951424598694,0.010423273290011996,True,False,1,True,2
2014-04-25,0,0.7044209241867065,-0.008232744912048813,True,False,1,False,2
2014-05-06,0,0.6884753704071045,-0.008742056756520605,True,False,1,False,2
2014-05-07,1,0.6589899063110352,0.005872040001730826,True,False,1,True,2
2014-05-12,1,0.4462537169456482,0.00968895241931179,True,False,0,False,2
2014-05-15,0,0.6077316999435425,-0.008819074848976698,True,False,1,False,2
2014-05-20,0,0.34064123034477234,-0.006324942897985657,True,False,0,True,2
2014-05-21,1,0.5086154341697693,0.008389142317992792,True,False,0,False,2
2014-05-27,1,0.4986400604248047,0.0061277492246281,True,False,0,False,2
2014-06-12,0,0.5731648206710815,-0.0071050338184486484,True,False,1,False,2
2014-06-18,1,0.5282211899757385,0.007312889933115217,True,False,0,False,2
2014-06-24,0,0.5165619254112244,-0.006042355057687075,True,False,0,True,2
2014-06-25,1,0.5459014177322388,0.0045096155423069,True,False,1,True,2
2014-07-01,1,0.5569977760314941,0.006670922554447326,True,False,1,True,2
2014-07-03,1,0.5920132994651794,0.004906067745438288,True,False,1,True,2
2014-07-08,0,0.5524517297744751,-0.006450760216380564,True,False,1,False,2
2014-07-09,1,0.5864428281784058,0.0044742276320883885,True,False,1,True,2
2014-07-14,1,0.44808632135391235,0.005022741978227536,True,False,0,False,2
2014-07-17,0,0.476599782705307,-0.011431017976897126,True,False,0,True,2
2014-07-18,1,0.5658455491065979,0.010167338522886066,True,False,1,True,2
2014-07-22,1,0.49432748556137085,0.004348495626861532,True,False,0,False,2
2014-07-25,0,0.5074151158332825,-0.004692556922979242,True,False,0,True,2
2014-07-29,0,0.5242219567298889,-0.004306560695288627,True,False,0,True,2
2014-07-31,0,0.3887312710285187,-0.019945796563103725,True,False,0,True,2
2014-08-04,1,0.5373978018760681,0.007194831067147849,True,False,0,False,2
2014-08-05,0,0.3847128748893738,-0.009743559398901468,True,False,0,True,2
2014-08-07,0,0.5224853754043579,-0.005429449664381589,True,False,0,True,2
2014-08-08,1,0.5353469848632812,0.01150249072739809,True,False,0,False,2
2014-08-13,1,0.5214377045631409,0.006746157238177152,True,False,0,False,2
2014-08-14,1,0.4974525570869446,0.004710700930836769,True,False,0,False,2
2014-08-18,1,0.6614275574684143,0.00834440265577117,True,False,1,True,2
2014-08-19,1,0.48133599758148193,0.005205311964475726,True,False,0,False,2
2014-09-05,1,0.5985573530197144,0.004485175863692967,True,False,1,True,2
2014-09-09,0,0.494691401720047,-0.006351395420682992,True,False,0,True,2
2014-09-10,1,0.6689493656158447,0.0037557317613714147,True,False,1,True,2
2014-09-12,0,0.5116914510726929,-0.005858355616396487,True,False,0,True,2
2014-09-16,1,0.5365610718727112,0.007510174147197439,True,False,0,False,2
2014-09-18,1,0.5702909827232361,0.005315894500358037,True,False,1,True,2
2014-09-19,0,0.5195982456207275,-0.005565006730506278,True,False,0,True,2
2014-09-22,0,0.4623331129550934,-0.007752961616901403,True,False,0,True,2
2014-09-23,0,0.531056821346283,-0.005740772251970257,True,False,0,True,2
2014-09-24,1,0.5893521308898926,0.007797424031039491,True,False,1,True,2
2014-09-25,0,0.46886709332466125,-0.016267099146391652,True,False,0,True,2
2014-09-26,1,0.6554843187332153,0.007913990154607694,True,False,1,True,2
2014-10-01,0,0.5462427139282227,-0.013644579409955858,True,False,1,False,2
2014-10-03,1,0.5532277822494507,0.010949197845781487,True,False,1,True,2
2014-10-07,0,0.731764018535614,-0.015556719198476667,True,False,1,False,2
2014-10-08,1,0.4895589351654053,0.017338238566358213,True,False,0,False,2
2014-10-09,0,0.48999086022377014,-0.020032483790296044,True,False,0,True,2
2014-10-10,0,0.5798488259315491,-0.011480047880891237,True,False,1,False,2
2014-10-13,0,0.4504978060722351,-0.01656336132841643,True,False,0,True,2
2014-10-15,0,0.5125887393951416,-0.006789133113090686,True,False,0,True,2
2014-10-17,1,0.46176064014434814,0.011741592523610402,True,False,0,False,2
2014-10-20,1,0.641351580619812,0.00966294083322011,True,False,1,True,2
2014-10-21,1,0.6009489297866821,0.019617166125424336,True,False,1,True,2
2014-10-23,1,0.5786107778549194,0.011557789576533795,True,False,1,True,2
2014-10-24,1,0.5716767907142639,0.007665614275054814,True,False,1,True,2
2014-10-28,1,0.4960518479347229,0.011404943846823197,True,False,0,False,2
2014-11-21,1,0.5577419996261597,0.005336406489951131,True,False,1,True,2
2014-12-02,1,0.45163875818252563,0.0064430493475267124,True,False,0,False,2
2014-12-10,0,0.5882948040962219,-0.016161265350257942,True,False,1,False,2
2014-12-11,1,0.5931386351585388,0.00505708093270082,True,False,1,True,2
2014-12-12,0,0.5031328201293945,-0.01629345335566466,True,False,0,True,2
2014-12-15,0,0.5701009035110474,-0.006893158682127761,True,False,1,False,2
2014-12-16,0,0.5998270511627197,-0.008051932446890809,True,False,1,False,2
2014-12-17,1,0.6648199558258057,0.019415118999434836,True,False,1,True,2
2014-12-18,1,0.4599097669124603,0.024427900848919635,True,False,0,False,2
2014-12-31,0,0.5565404891967773,-0.00997255115969937,True,False,1,False,2
2015-01-05,0,0.5600535273551941,-0.018224704391309896,True,False,1,False,2
2015-01-06,0,0.533648669719696,-0.009463605301043171,True,False,0,True,2
2015-01-07,1,0.5079184770584106,0.01238416446271821,True,False,0,False,2
2015-01-08,1,0.5940262675285339,0.01758942196896442,True,False,1,True,2
2015-01-09,0,0.49698007106781006,-0.008045850650524594,True,False,0,True,2
2015-01-12,0,0.604528546333313,-0.007864410784303022,True,False,1,False,2
2015-01-15,0,0.5072231292724609,-0.00920280734937316,True,False,0,True,2
2015-01-16,1,0.46046146750450134,0.013029015212169084,True,False,0,False,2
2015-01-22,1,0.4224443733692169,0.01476151841513954,True,False,0,False,2
2015-01-27,0,0.7018327713012695,-0.01327828342652442,True,False,1,False,2
2015-01-28,0,0.6230216026306152,-0.012907278436190254,True,False,1,False,2
2015-01-29,1,0.43992796540260315,0.009201099807839798,True,False,0,False,2
2015-01-30,0,0.6406009793281555,-0.012654655369977563,True,False,1,False,2
2015-02-02,1,0.4153209328651428,0.012308007234080716,True,False,0,False,2
2015-02-03,1,0.6587662100791931,0.014357598431818042,True,False,1,True,2
2015-02-05,1,0.38181766867637634,0.010044443487849221,True,False,0,False,2
2015-02-10,1,0.44499877095222473,0.01059699136311393,True,False,0,False,2
2015-03-02,1,0.55774986743927,0.006293652868157811,True,False,1,True,2
2015-03-06,0,0.6080794334411621,-0.014164303542830515,True,False,1,False,2
2015-03-10,0,0.6427398920059204,-0.01635496324619298,True,False,1,False,2
2015-03-12,1,0.6350194215774536,0.012633822390026958,True,False,1,True,2
2015-03-13,0,0.5575137138366699,-0.006151203606017958,True,False,1,False,2
2015-03-16,1,0.6193345785140991,0.01327207520486987,True,False,1,True,2
2015-03-18,1,0.5107594132423401,0.011949857413652766,True,False,0,False,2
2015-03-25,0,0.5250105857849121,-0.014762257583974083,True,False,0,True,2
2015-03-30,1,0.684404194355011,0.012126018644524963,True,False,1,True,2
2015-03-31,0,0.4995259940624237,-0.008777944644853434,True,False,0,True,2
2015-04-06,1,0.6139708161354065,0.006710621534576819,True,False,1,True,2
2015-04-17,0,0.6094914078712463,-0.011570210421864109,True,False,1,False,2
2015-04-20,1,0.6194540858268738,0.00909536735125444,True,False,1,True,2
2015-04-30,0,0.5209286212921143,-0.010070965675104416,True,False,0,True,2
2015-05-01,1,0.5525760054588318,0.010783035269824706,True,False,1,True,2
2015-05-05,0,0.500061571598053,-0.011517967610371698,True,False,0,True,2
2015-05-08,1,0.5052431225776672,0.013080164912577465,True,False,0,False,2
2015-05-14,1,0.5316504836082458,0.010373597439841523,True,False,0,False,2
2015-05-26,0,0.6740328669548035,-0.01080993571497929,True,False,1,False,2
2015-05-27,1,0.6385815739631653,0.009447401532239053,True,False,1,True,2
2015-05-29,0,0.4813136160373688,-0.00623234928167894,True,False,0,True,2
2015-06-04,0,0.3469446003437042,-0.008482426280820986,True,False,0,True,2
2015-06-08,0,0.4696446657180786,-0.006168619894907657,True,False,0,True,2
2015-06-10,1,0.5553316473960876,0.011921934417045426,True,False,1,True,2
2015-06-12,0,0.6456985473632812,-0.007684367470106338,True,False,1,False,2
2015-06-16,1,0.5427212119102478,0.005436866635543014,True,False,1,True,2
2015-06-18,1,0.4786132276058197,0.010345664549366142,True,False,0,False,2
2015-06-19,0,0.4438417851924896,-0.009301520060152167,True,False,0,True,2
2015-06-22,1,0.475681871175766,0.0051100269172874,True,False,0,False,2
2015-06-24,0,0.6268952488899231,-0.0072892513339581156,True,False,1,False,2
2015-06-29,0,0.5924098491668701,-0.021193400386544974,True,False,1,False,2
2015-07-01,1,0.6449517607688904,0.007983561804533027,True,False,1,True,2
2015-07-07,1,0.48116534948349,0.006269022964348443,True,False,0,False,2
2015-07-08,0,0.4393234848976135,-0.0169195914419475,True,False,0,True,2
2015-07-10,1,0.5058557391166687,0.012512903433965095,True,False,0,False,2
2015-07-13,1,0.43477100133895874,0.010976783887015968,True,False,0,False,2
2015-07-16,1,0.3807017505168915,0.007992298232542884,True,False,0,False,2
2015-07-23,0,0.5217785239219666,-0.0056458576058752,True,False,0,True,2
2015-07-24,0,0.6080668568611145,-0.010426191888768848,True,False,1,False,2
2015-07-27,0,0.5548936128616333,-0.005834326602727022,True,False,1,False,2
2015-07-28,1,0.4337207078933716,0.012208209755053484,True,False,0,False,2
2015-07-29,1,0.5741184949874878,0.006855548966037117,True,False,1,True,2
2015-08-06,0,0.3993079960346222,-0.008221456210205291,True,False,0,True,2
2015-08-10,1,0.36631566286087036,0.012520522679780615,True,False,0,False,2
2015-08-11,0,0.38346126675605774,-0.009064126222849762,True,False,0,True,2
2015-08-17,1,0.5202249884605408,0.005571301686068404,True,False,0,False,2
2015-08-19,0,0.5344534516334534,-0.007936873561101215,True,False,0,True,2
2015-08-20,0,0.5337141156196594,-0.021102463987507057,True,False,0,True,2
2015-08-21,0,0.464539498090744,-0.030564844895498506,True,False,0,True,2
2015-08-24,0,0.5487369298934937,-0.043019060773217356,True,False,1,False,2
2015-08-25,0,0.647738516330719,-0.011837575935620176,True,True,1,False,2
2015-08-26,1,0.5623248219490051,0.03767507232034739,True,True,1,True,2
2015-08-27,1,0.4261592924594879,0.024434189577847116,True,True,0,False,2
2015-08-31,0,0.571692943572998,-0.00811190049770867,True,True,1,False,2
2015-09-01,0,0.520855724811554,-0.03030220476613541,True,True,0,True,2
2015-09-02,1,0.5749183893203735,0.01880317454798349,True,True,1,True,2
2015-09-04,0,0.6622265577316284,-0.015252558886480107,True,True,1,False,2
2015-09-08,1,0.6126753687858582,0.024820496117270316,True,True,1,True,2
2015-09-15,1,0.7123828530311584,0.012421952003654629,True,True,1,True,2
2015-09-18,0,0.492911696434021,-0.021661856460941403,True,True,0,True,2
2015-09-22,0,0.5527358055114746,-0.013064729640802282,True,True,1,False,2
2015-09-28,0,0.4494752585887909,-0.025417592615977622,True,True,0,True,2
2015-09-30,1,0.6628783941268921,0.01848642383981401,True,True,1,True,2
2015-10-02,1,0.5777981281280518,0.014827306906029528,True,False,1,True,2
2015-11-12,0,0.44374242424964905,-0.014058155525712998,True,False,0,True,2
2015-11-13,0,0.5693756341934204,-0.01129180396066122,True,False,1,False,2
2015-11-16,1,0.5368776917457581,0.015092416612007657,True,False,0,False,2
2015-11-18,1,0.5972050428390503,0.015741486470022985,True,False,1,True,2
2015-12-01,1,0.44866207242012024,0.009490450885066217,True,False,0,False,2
2015-12-03,0,0.4924231767654419,-0.014101736427653467,True,False,0,True,2
2015-12-04,1,0.5980793833732605,0.01931517094939084,True,False,1,True,2
2015-12-11,0,0.5893326997756958,-0.01957139224450698,True,False,1,False,2
2015-12-15,1,0.537051260471344,0.010443087190806444,True,False,0,False,2
2015-12-16,1,0.5554994940757751,0.014525990261195328,True,False,1,True,2
2015-12-17,0,0.48192065954208374,-0.015355472214624757,True,False,0,True,2
2015-12-18,0,0.5595082640647888,-0.023909439079209505,True,False,1,False,2
2015-12-23,1,0.6096531748771667,0.012307267310985573,True,False,1,True,2
2015-12-29,1,0.5345982909202576,0.010615388596981797,True,False,0,False,2
2015-12-31,0,0.5902372598648071,-0.010053757792281173,True,False,1,False,2
2016-01-04,0,0.5687580704689026,-0.014078085007925907,True,False,1,False,2
2016-01-06,0,0.6464758515357971,-0.012694424235767466,True,False,1,False,2
2016-01-07,0,0.45754513144493103,-0.02428405608086669,True,False,0,True,2
2016-01-08,0,0.5011175870895386,-0.011037264550851656,True,False,0,True,2
2016-01-12,1,0.646541953086853,0.008035935275933019,True,False,1,True,2
2016-01-13,0,0.47741931676864624,-0.025256914003050034,True,False,0,True,2
2016-01-14,1,0.6364750266075134,0.016283534966571953,True,True,1,True,2
2016-01-15,0,0.5286595225334167,-0.02169988356339567,True,True,0,True,2
2016-01-20,0,0.5237037539482117,-0.012897900120246417,True,True,0,True,2
2016-01-22,1,0.6261425614356995,0.02030769803135791,True,False,1,True,2
2016-01-25,0,0.38614171743392944,-0.015231968150443788,True,True,0,True,2
2016-01-26,1,0.580568790435791,0.013550903858818436,True,True,1,True,2
2016-01-27,0,0.5910163521766663,-0.010942894888797574,True,True,1,False,2
2016-01-29,1,0.4194583296775818,0.024084964269730853,True,True,0,False,2
2016-02-02,0,0.6035479307174683,-0.01818653213249616,True,True,1,False,2
2016-02-05,0,0.3418629765510559,-0.019233943619154967,True,True,0,True,2
2016-02-08,0,0.5209360122680664,-0.013552441469451462,True,True,0,True,2
2016-02-11,0,0.6224306225776672,-0.013093407548559899,True,True,1,False,2
2016-02-12,1,0.4503082036972046,0.02040723728401265,True,True,0,False,2
2016-02-16,1,0.5421786904335022,0.016737426755310383,True,True,1,True,2
2016-02-22,1,0.5096482634544373,0.014375338238185034,True,True,0,False,2
2016-02-25,1,0.5871380567550659,0.01203902175994836,True,True,1,True,2
2016-03-29,1,0.6137874126434326,0.00920757617414379,True,False,1,True,2
2016-04-06,1,0.6207858920097351,0.010861974375772835,True,False,1,True,2
2016-04-07,0,0.43595626950263977,-0.012038068466954956,True,False,0,True,2
2016-04-12,1,0.6960051655769348,0.009269685759992688,True,False,1,True,2
2016-04-13,1,0.4152544438838959,0.010050344745569607,True,False,0,False,2
2016-04-28,0,0.517531156539917,-0.009117189551687043,True,False,0,True,2
2016-05-02,1,0.43996694684028625,0.007917006727903951,True,False,0,False,2
2016-05-03,0,0.5974040627479553,-0.008741260291898584,True,False,1,False,2
2016-05-10,1,0.4762241244316101,0.012357147062368385,True,False,0,False,2
2016-05-11,0,0.45281538367271423,-0.009398777285479427,True,False,0,True,2
2016-05-13,0,0.580360472202301,-0.008752380516923645,True,False,1,False,2
2016-05-16,1,0.5638455152511597,0.00981688549310407,True,False,1,True,2
2016-05-17,0,0.35161077976226807,-0.009377386467228545,True,False,0,True,2
2016-05-24,1,0.5892301201820374,0.012878983047929088,True,False,1,True,2
2016-05-25,1,0.45761069655418396,0.006760201618305196,True,False,0,False,2
2016-06-13,0,0.4873396158218384,-0.007741653686631843,True,False,0,True,2
2016-06-17,0,0.5595383048057556,-0.00891804144940485,True,False,1,False,2
2016-06-20,1,0.5701310038566589,0.006419414364319795,True,False,1,True,2
2016-06-23,1,0.5941747426986694,0.01293847956182914,True,False,1,True,2
2016-06-24,0,0.5713080167770386,-0.0365696685376438,True,False,1,False,2
2016-06-27,0,0.3981856107711792,-0.018072179297399276,True,False,0,True,2
2016-06-28,1,0.4170691668987274,0.01787530622973483,True,False,0,False,2
2016-06-29,1,0.3513788878917694,0.01688424782083095,True,False,0,False,2
2016-06-30,1,0.4499155879020691,0.013553300509066859,True,False,0,False,2
2016-07-05,0,0.5340482592582703,-0.007219186088535558,True,False,0,True,2
2016-07-06,1,0.4397352635860443,0.005979877546764581,True,False,0,False,2
2016-07-08,1,0.35280659794807434,0.014780671622370336,True,False,0,False,2
2016-08-02,0,0.4864678680896759,-0.006427913514755386,True,False,0,True,2
2016-08-05,1,0.49731770157814026,0.008145603052374027,True,False,0,False,2
2016-09-09,0,0.33493131399154663,-0.024225904232664935,True,False,0,True,2
2016-09-12,1,0.4026084542274475,0.014245376567656747,True,False,0,False,2
2016-09-13,0,0.6500372886657715,-0.014479851973302187,True,False,1,False,2
2016-09-15,1,0.5981886982917786,0.009943386171964634,True,False,1,True,2
2016-09-16,0,0.45508068799972534,-0.008911775715804298,True,False,0,True,2
2016-09-21,1,0.615693986415863,0.011182714263452255,True,False,1,True,2
2016-09-22,1,0.4196859896183014,0.006281708192279977,True,False,0,False,2
2016-09-23,0,0.5484817624092102,-0.005494333315913308,True,False,1,False,2
2016-09-26,0,0.525784969329834,-0.008135228165556755,True,False,0,True,2
2016-09-27,1,0.5872265100479126,0.00618880917830181,True,False,1,True,2
2016-09-29,0,0.6955122351646423,-0.009088473714841045,True,False,1,False,2
2016-09-30,1,0.4896549582481384,0.00751783387621049,True,False,0,False,2
2016-10-18,1,0.5851455330848694,0.006242841251259704,True,False,1,True,2
