candidate_name,groups,group_count,feature_count,training_rows,training_start,training_end,stage1_roc_auc,matched_base_roc_auc,delta_roc_auc_vs_matched_base,stage1_roc_auc_fold_std,stage1_balanced_accuracy,stage1_flat_precision,stage1_flat_recall,stage1_flat_f1,matched_base_flat_f1,delta_flat_f1_vs_matched_base,stage1_move_f1,stage1_brier_score
equity_rotation+futures_smallcap+interaction_consensus+macro_cross_asset+trend_direction,equity_rotation|futures_smallcap|interaction_consensus|macro_cross_asset|trend_direction,5,77,820,2017-07-18,2020-10-26,0.5180602739726028,0.5347506849315069,-0.01669041095890411,0.029230446409966446,0.5094794520547945,0.4180327868852459,0.408,0.41295546558704455,0.45,-0.037044534412955465,0.6059782608695652,0.2607781896356282
equity_rotation+futures_core+futures_smallcap+technical_dynamics,equity_rotation|futures_core|futures_smallcap|technical_dynamics,4,70,824,2017-07-18,2020-10-26,0.5113301240350421,0.528178940064186,-0.016848816029143898,0.03380780865947938,0.5218253968253967,0.4377880184331797,0.376984126984127,0.4051172707889126,0.4484848484848485,-0.04336757769593591,0.636245110821382,0.2641313712999403
futures_core+futures_smallcap+technical_dynamics+volatility_options_core+volatility_options_short,futures_core|futures_smallcap|technical_dynamics|volatility_options_core|volatility_options_short,5,80,786,2017-07-18,2020-10-26,0.5326140678681213,0.5495268519076608,-0.016912784039539552,0.051747859332834545,0.5464287866915798,0.4440677966101695,0.5574468085106383,0.49433962264150944,0.4612159329140461,0.033123689727463324,0.5851393188854489,0.26469952554713166
interaction_consensus+trend_direction,interaction_consensus|trend_direction,2,51,3153,2008-04-10,2020-10-26,0.5855418657279357,0.6026375926282004,-0.01709572690026473,0.01275453562754611,0.5640365927613187,0.5031685678073511,0.4092783505154639,0.45139283683911313,0.5045965270684372,-0.05320369022932403,0.6749747389693499,0.24774729822720765
flat_regime_state+futures_core+volatility_options_core,flat_regime_state|futures_core|volatility_options_core,3,78,3070,2007-06-11,2020-10-26,0.567956203813556,0.5868944874807112,-0.01893828366715511,0.010247796947396236,0.5563042315118524,0.4867444326617179,0.4751552795031056,0.4808800419067575,0.5149583128984796,-0.034078270991722115,0.6320089119940586,0.25077233227719253
equity_rotation+futures_smallcap+interaction_consensus+macro_cross_asset+rates_credit,equity_rotation|futures_smallcap|interaction_consensus|macro_cross_asset|rates_credit,5,75,820,2017-07-18,2020-10-26,0.515758904109589,0.5347506849315069,-0.01899178082191788,0.039271712981108306,0.5307397260273973,0.4418604651162791,0.456,0.44881889763779526,0.45,-0.0011811023622047556,0.6121883656509696,0.27116458622118456
futures_smallcap+trend_direction,futures_smallcap|trend_direction,2,47,824,2017-07-18,2020-10-26,0.5086087258218406,0.528178940064186,-0.019570214242345396,0.04282109477185996,0.5213700234192037,0.43006993006993005,0.4880952380952381,0.45724907063197023,0.4484848484848485,0.008764222147121747,0.5816618911174785,0.2649725245917038
calendar+futures_smallcap+rates_credit+technical_dynamics,calendar|futures_smallcap|rates_credit|technical_dynamics,4,75,824,2017-07-18,2020-10-26,0.5075353456500997,0.528178940064186,-0.020643594414086253,0.04926690565102192,0.5157103825136612,0.4268292682926829,0.4166666666666667,0.42168674698795183,0.4484848484848485,-0.026798101496896654,0.6097560975609756,0.2713418297391356
equity_rotation+futures_smallcap+interaction_consensus+rates_credit+volatility_options_short,equity_rotation|futures_smallcap|interaction_consensus|rates_credit|volatility_options_short,5,73,824,2017-07-18,2020-10-26,0.5073727122907451,0.528178940064186,-0.020806227773440877,0.04431901769126173,0.5160356492323706,0.4245614035087719,0.4801587301587302,0.4506517690875233,0.4484848484848485,0.0021669206026748156,0.5779685264663805,0.269433227677954
equity_rotation+volatility_options_core,equity_rotation|volatility_options_core,2,45,3301,2007-06-08,2020-10-26,0.5724915054667788,0.5933476871320437,-0.020856181665264817,0.02377667783444752,0.5572245584524811,0.49206349206349204,0.42341463414634145,0.4551651809124279,0.48807157057654077,-0.032906389664112856,0.6585606309562931,0.24666201517553657
