candidate_name,groups,status,feature_count,training_rows,training_start,training_end,matched_base_roc_auc,delta_roc_auc_vs_matched_base,decision_threshold,stage2_roc_auc,stage2_average_precision,stage2_brier_score,stage2_balanced_accuracy,stage2_macro_f1,stage2_down_f1,stage2_up_f1,stage2_roc_auc_fold_mean,stage2_roc_auc_fold_std,oof_move_rows
breadth+calendar+equity_rotation+futures_core+macro_cross_asset+rates_credit,"['breadth', 'calendar', 'equity_rotation', 'futures_core', 'macro_cross_asset', 'rates_credit']",ok,90,2625,2007-08-20,2018-02-02,0.4924114993501033,0.006014730993704864,0.44927746057510376,0.4984262303438082,0.5613234826160582,0.2649091554545803,0.5054158065091623,0.502710905862385,0.40188383045525905,0.603537981269511,0.49546919040757614,0.046208440348757145,799
calendar+equity_rotation+futures_core+macro_cross_asset+rates_credit+volatility_options_core,"['calendar', 'equity_rotation', 'futures_core', 'macro_cross_asset', 'rates_credit', 'volatility_options_core']",ok,89,2590,2007-08-20,2018-02-02,0.48758453085376163,0.005936971682164005,0.514191746711731,0.49352150253592564,0.5753864089919409,0.26293566127779994,0.5036586010143702,0.4998441639395356,0.4731182795698925,0.5265700483091788,0.4928185531748841,0.04357807574796117,786
breadth+calendar+equity_rotation+macro_cross_asset+technical_dynamics+volatility_options_core,"['breadth', 'calendar', 'equity_rotation', 'macro_cross_asset', 'technical_dynamics', 'volatility_options_core']",ok,99,2590,2007-08-20,2018-02-02,0.48758453085376163,0.005804892223161384,0.5163416266441345,0.493389423076923,0.5713121615358527,0.26250630299590155,0.5003368026204564,0.49700493762993764,0.46756756756756757,0.5264423076923077,0.502167925885865,0.030946448419321853,786
calendar+equity_rotation+futures_core+macro_cross_asset,"['calendar', 'equity_rotation', 'futures_core', 'macro_cross_asset']",ok,59,2625,2007-08-20,2018-02-02,0.4924114993501033,0.005358462675535747,0.4748968034982681,0.49776996202563906,0.573830805262528,0.2627994183865182,0.5157568111731274,0.5153298224781617,0.43647234678624813,0.5941872981700753,0.49411799624563507,0.018998820018861037,799
futures_core+interaction_consensus,"['futures_core', 'interaction_consensus']",ok,44,2627,2007-08-20,2018-02-02,0.49427824718987085,0.00534749181700539,0.46067745983600616,0.49962573900687623,0.554889436671052,0.26186329901461664,0.5189065235594124,0.5165632295165974,0.4175824175824176,0.6155440414507772,0.5042552040583037,0.07464594740086418,801
calendar+technical_dynamics+volatility_options_core,"['calendar', 'technical_dynamics', 'volatility_options_core']",ok,66,2598,2007-08-20,2018-02-02,0.4910656015871774,0.005018664995953603,0.44538597762584686,0.496084266583131,0.5532601478976342,0.2653498542350458,0.5228613569321534,0.5161580756013746,0.38831615120274915,0.644,0.5016811836006567,0.03965051626855722,791
equity_rotation+futures_core+macro_cross_asset+rates_credit,"['equity_rotation', 'futures_core', 'macro_cross_asset', 'rates_credit']",ok,66,2625,2007-08-20,2018-02-02,0.4924114993501033,0.004912455080663625,0.4948653280735016,0.49732395443076693,0.5543192704072077,0.26281232349049616,0.5203857328541936,0.5189114042166851,0.48097826086956524,0.5568445475638051,0.5049446130783335,0.03898960290970987,799
calendar+futures_core+interaction_consensus+macro_cross_asset+trend_direction+volatility_options_core,"['calendar', 'futures_core', 'interaction_consensus', 'macro_cross_asset', 'trend_direction', 'volatility_options_core']",ok,93,2429,2008-04-10,2018-02-02,0.511394307446939,0.004738682370261316,0.4875490963459015,0.5161329898172003,0.5840013930727518,0.26661809154803223,0.5211017053122317,0.5202659069325736,0.4676923076923077,0.5728395061728395,0.5168917046808376,0.038127873899826074,730
macro_cross_asset+rates_credit+technical_dynamics,"['macro_cross_asset', 'rates_credit', 'technical_dynamics']",ok,67,2625,2007-08-20,2018-02-02,0.4924114993501033,0.0046639651349491,0.49380460381507874,0.4970754644850524,0.5546609090244194,0.26213233368032407,0.512252465784846,0.5084435069745251,0.4869109947643979,0.5299760191846523,0.48724754192582503,0.011934218485383157,799
calendar+equity_rotation+macro_cross_asset+rates_credit+technical_dynamics+volatility_options_core,"['calendar', 'equity_rotation', 'macro_cross_asset', 'rates_credit', 'technical_dynamics', 'volatility_options_core']",ok,100,2590,2007-08-20,2018-02-02,0.48758453085376163,0.0044444737954352775,0.4810097813606262,0.4920290046491969,0.5611533330804046,0.2675614456239936,0.5056860207100592,0.5052487328949007,0.4498567335243553,0.5606407322654462,0.49238980361236323,0.014792448452059659,786
equity_rotation+macro_cross_asset,"['equity_rotation', 'macro_cross_asset']",ok,40,2625,2007-08-20,2018-02-02,0.4924114993501033,0.0044154751892345745,0.5042530000209808,0.4968269745393379,0.5671107156073252,0.2550624699001514,0.509636949817774,0.5095903022863281,0.4402332361516035,0.5789473684210527,0.4963744328613333,0.006704390022691949,799
breadth+equity_rotation+macro_cross_asset+trend_direction,"['breadth', 'equity_rotation', 'macro_cross_asset', 'trend_direction']",ok,73,2464,2008-04-10,2018-02-02,0.5065938594683701,0.004349297930587914,0.485151544213295,0.510943157398958,0.5971471295692052,0.256397341690102,0.5154764357834624,0.5144502185063775,0.42504118616144976,0.6038592508513053,0.5100864904912147,0.0176722631467877,744
