volatility_window,threshold_multiplier,training_rows,training_start,training_end,down_share,flat_share,up_share,minimum_class_share,up_down_share_gap,median_threshold_pct,threshold_p25_pct,threshold_p75_pct,median_flat_abs_return_pct,flat_share_block_min,flat_share_block_max,flat_share_block_std,flat_share_block_range
10,0.7,3423,2007-02-14,2020-09-22,0.21063394683026584,0.5366637452527023,0.25270230791703185,0.21063394683026584,0.04206836108676601,0.5632086486347897,0.37448904142497275,0.8563914972193248,0.2265752281506773,0.5160818713450293,0.5555555555555556,0.015292723612270524,0.03947368421052633
10,0.75,3423,2007-02-14,2020-09-22,0.1971954425942156,0.5641250365176745,0.23867952088810984,0.1971954425942156,0.04148407829389425,0.603437837822989,0.4012382586696136,0.9175623184492766,0.24020441155120548,0.5453216374269005,0.5862573099415205,0.016231866006139663,0.040935672514619936
10,0.8,3423,2007-02-14,2020-09-22,0.18638621092608823,0.5933391761612621,0.22027461291264971,0.18638621092608823,0.033888401986561484,0.6436670270111883,0.4279874759142545,0.9787331396792285,0.25730622486887544,0.5716374269005848,0.6072992700729927,0.014429942671799024,0.03566184317240784
10,0.85,3423,2007-02-14,2020-09-22,0.1773298276365761,0.6170026292725679,0.20566754309085597,0.1773298276365761,0.028337715454279877,0.6838962161993876,0.4547366931588954,1.0399039609091802,0.26940836880090097,0.6,0.6301169590643275,0.013644646313591195,0.030116959064327542
10,0.9,3423,2007-02-14,2020-09-22,0.16885772713993574,0.6389132340052586,0.19222903885480572,0.16885772713993574,0.023371311714869974,0.7241254053875869,0.4814859104035364,1.101074782139132,0.284026559417544,0.618421052631579,0.6535087719298246,0.014546224498541394,0.03508771929824561
10,0.95,3423,2007-02-14,2020-09-22,0.16067776803973122,0.6587788489628981,0.18054338299737072,0.16067776803973122,0.0198656149576395,0.764354594575786,0.5082351276481772,1.1622456033690838,0.2915168971612883,0.6388888888888888,0.672514619883041,0.015459748879425063,0.033625730994152114
10,1.0,3423,2007-02-14,2020-09-22,0.15366637452527024,0.6771837569383582,0.1691498685363716,0.15366637452527024,0.015483494011101356,0.8045837837639853,0.5349843448928182,1.2234164245990355,0.29936832631935106,0.6608187134502924,0.6871345029239766,0.010097500432820771,0.02631578947368418
20,0.1,3416,2007-03-01,2020-09-25,0.40398126463700235,0.10831381733021077,0.48770491803278687,0.10831381733021077,0.08372365339578453,0.08464281412326984,0.05815141769257019,0.1248352480012083,0.03852616537768029,0.0951683748169839,0.12005856515373353,0.008756104810482314,0.024890190336749635
20,0.15,3416,2007-03-01,2020-09-25,0.3805620608899297,0.15485948477751757,0.4645784543325527,0.15485948477751757,0.08401639344262296,0.12696422118490475,0.0872271265388553,0.18725287200181243,0.05418810563717929,0.1478770131771596,0.17130307467057102,0.008427620639465366,0.02342606149341142
20,0.2,3416,2007-03-01,2020-09-25,0.3553864168618267,0.19994145199063232,0.444672131147541,0.19994145199063232,0.0892857142857143,0.16928562824653967,0.11630283538514039,0.2496704960024166,0.07141423028772691,0.17862371888726208,0.22108345534407028,0.014715359628990057,0.0424597364568082
20,0.25,3416,2007-03-01,2020-09-25,0.3360655737704918,0.242096018735363,0.4218384074941452,0.242096018735363,0.08577283372365341,0.21160703530817454,0.1453785442314255,0.3120881200030208,0.08631692180783777,0.21376281112737922,0.26500732064421667,0.017004707800374642,0.051244509516837455
20,0.3,3416,2007-03-01,2020-09-25,0.31733021077283374,0.280152224824356,0.4025175644028103,0.280152224824356,0.08518735362997654,0.2539284423698095,0.1744542530777106,0.37450574400362485,0.10634134397508202,0.25329428989751096,0.3118594436310395,0.018754121959957733,0.05856515373352855
20,0.35,3416,2007-03-01,2020-09-25,0.3009367681498829,0.31791569086651056,0.38114754098360654,0.3009367681498829,0.08021077283372363,0.29624984943144433,0.20352996192399567,0.436923368004229,0.11980097676878411,0.29428989751098095,0.3440702781844802,0.016396695060234827,0.04978038067349927
20,0.4,3416,2007-03-01,2020-09-25,0.2822014051522248,0.3583138173302108,0.3594847775175644,0.2822014051522248,0.07728337236533961,0.33857125649307934,0.23260567077028077,0.4993409920048332,0.13945425981137624,0.33528550512445093,0.38653001464128844,0.016772807445952755,0.05124450951683751
20,0.45,3416,2007-03-01,2020-09-25,0.2646370023419204,0.39549180327868855,0.3398711943793911,0.2646370023419204,0.07523419203747073,0.38089266355471424,0.2616813796165659,0.5617586160054373,0.15961783682079178,0.3762811127379209,0.4216691068814056,0.015908440869209655,0.045387994143484656
20,0.5,3416,2007-03-01,2020-09-25,0.25234192037470726,0.4294496487119438,0.31820843091334894,0.25234192037470726,0.06586651053864168,0.4232140706163491,0.290757088462851,0.6241762400060415,0.1742595795658918,0.4055636896046852,0.46266471449487556,0.02009315594393734,0.057101024890190366
20,0.55,3416,2007-03-01,2020-09-25,0.2388758782201405,0.46048009367681497,0.30064402810304447,0.2388758782201405,0.06176814988290397,0.46553547767798403,0.3198327973091361,0.6865938640066457,0.1904443317603481,0.4407027818448023,0.5007320644216691,0.022428485727695173,0.06002928257686674
20,0.6,3416,2007-03-01,2020-09-25,0.22453161592505855,0.4959016393442623,0.27956674473067916,0.22453161592505855,0.055035128805620614,0.507856884739619,0.3489085061554212,0.7490114880072497,0.20568283059184247,0.4787701317715959,0.5314787701317716,0.020854587554144835,0.0527086383601757
