feature_date,target_date,future_log_return,direction,implied_realized_ratio_20,realized_volatility_20,vvix_level,ma_alignment_score,adx_14,rsp_relative_return_20,sector_volume_breadth,hyg_lqd_relative_return_5,crude_return_5d,outer_fold,actual_up,score,saved_decision_threshold,predicted_up,regime__implied_realized_ratio_20,regime__realized_volatility_20,regime__vvix_level,regime__ma_alignment_score,regime__adx_14,regime__rsp_relative_return_20,regime__sector_volume_breadth,regime__hyg_lqd_relative_return_5,regime__crude_return_5d
2018-12-19,2018-12-20,-0.016411886126272028,DOWN,1.1381253145822217,0.014158269842029128,105.05000305175781,-1.0,29.377841009351975,-0.01182375351352169,-1.744455074676606,-0.026238076732553045,-0.08036861347360869,3,0,0.5928135514259338,0.5677635669708252,1,LOW,HIGH,HIGH,LOW,HIGH,LOW,LOW,LOW,LOW
2018-12-20,2018-12-21,-0.02652501947718206,DOWN,1.273496993367024,0.014038289165804657,109.6500015258789,-1.0,30.991850731862744,-0.012271397021774683,-1.8218304853699208,-0.03145593412182099,-0.1363065385841031,3,0,0.8079900145530701,0.5677635669708252,1,MID,HIGH,HIGH,LOW,HIGH,LOW,LOW,LOW,LOW
2018-12-21,2018-12-24,-0.026778295497672407,DOWN,1.2767865964428793,0.014855667794844077,106.61000061035156,-1.0,32.84951020291438,-0.006474184426260465,-1.6791958365942605,-0.03231433053896369,-0.11605114937431346,3,0,0.7286815643310547,0.5677635669708252,1,MID,HIGH,HIGH,LOW,HIGH,LOW,LOW,LOW,LOW
2018-12-24,2018-12-26,0.049289909317996004,UP,1.4521376946170812,0.015647251722562712,111.87999725341797,-1.0,34.94641308259156,-0.015647224933703893,-0.898816393886593,-0.029925127033226098,-0.15941046166215744,3,1,0.9710044264793396,0.5677635669708252,1,MID,HIGH,HIGH,LOW,HIGH,LOW,LOW,LOW,LOW
2019-01-02,2019-01-03,-0.024152091139486728,DOWN,0.7849537880989501,0.018634504215001246,81.66000366210938,-1.0,34.66308891651775,-0.008890313193143706,0.22293162796536947,0.0071673686495607025,0.090102496982608,3,0,0.7611497044563293,0.5677635669708252,1,LOW,HIGH,LOW,LOW,HIGH,LOW,MID,HIGH,HIGH
2019-01-03,2019-01-04,0.03294696944123263,UP,0.8617115674745391,0.01860482573196407,83.80000305175781,-1.0,34.7158215941762,-0.0031547774147808183,-0.8861248476392406,-0.010271814857695141,0.01864803623886238,3,1,0.08621163666248322,0.5677635669708252,0,LOW,HIGH,MID,LOW,HIGH,MID,LOW,LOW,HIGH
2019-01-14,2019-01-15,0.011395631602565357,UP,0.6228085265733038,0.019288384999580372,83.01000213623047,0.0,24.55390807953463,0.013044236512410354,-0.41966888861228463,0.002596175600588729,0.040195209739189615,3,1,0.6372553706169128,0.5677635669708252,1,LOW,HIGH,MID,MID,MID,HIGH,MID,HIGH,HIGH
2019-01-17,2019-01-18,0.013222209602931542,UP,0.6141111010546784,0.01852552458604737,82.79000091552734,0.0,20.579302950666158,0.00908790342425406,0.7175636169003643,-0.0025925713716694896,-0.009937029188782621,3,1,0.9156384468078613,0.5677635669708252,1,LOW,HIGH,LOW,MID,MID,HIGH,HIGH,MID,MID
2019-01-18,2019-01-22,-0.013602591137040479,DOWN,0.6137558013834955,0.018269392365375236,82.48999786376953,0.0,20.37796040082347,0.011711371588690088,0.8001601813760921,0.003559632961333687,0.041945594772446484,3,0,0.08763420581817627,0.5677635669708252,0,LOW,HIGH,LOW,MID,MID,HIGH,HIGH,HIGH,HIGH
2019-01-29,2019-01-30,0.01570676929998593,UP,1.0575017933642419,0.011395504790688134,86.83999633789062,0.0,17.12912753937648,0.023161517107563555,0.36004865320653345,-0.004563663119958579,0.01397834756892122,3,1,0.46063482761383057,0.5677635669708252,0,LOW,HIGH,MID,MID,LOW,HIGH,MID,MID,MID
2019-02-11,2019-02-12,0.01277742078377807,UP,1.313573751309461,0.007658614179913851,82.7699966430664,1.0,21.482127578831847,0.009301404994000145,0.24697257862055114,-0.002831292594816479,-0.04020362880284832,3,1,0.9006741642951965,0.5677635669708252,1,MID,MID,LOW,MID,MID,HIGH,MID,MID,LOW
2019-02-14,2019-02-15,0.010838312654595526,UP,1.3482169381222642,0.007578631350456672,81.63999938964844,1.0,22.78386293603618,0.01283976825218449,-0.33682172212990313,0.0035936894224736123,0.03307168227118784,3,1,0.8011089563369751,0.5677635669708252,1,MID,MID,LOW,MID,MID,HIGH,MID,HIGH,HIGH
2019-03-08,2019-03-11,0.014397105360716386,UP,1.94255057060915,0.005204780418776771,87.23999786376953,1.0,22.601500606008663,-0.004416066259099193,-0.45048602769311885,-0.01408279541842893,0.004827048978302013,3,1,0.8790757656097412,0.5677635669708252,1,HIGH,LOW,MID,MID,MID,LOW,MID,LOW,MID
2019-03-20,2019-03-21,0.011231393051487988,UP,1.7014989691485756,0.005149856937141703,86.62999725341797,1.0,21.650834187297875,-0.01958496070343292,-0.37865616216260306,-0.0032553041406579875,0.02659151528487693,3,1,0.38996386528015137,0.5677635669708252,0,HIGH,LOW,MID,MID,MID,LOW,MID,MID,HIGH
2019-03-21,2019-03-22,-0.01943396344627371,DOWN,1.5410347304152694,0.00557164147427762,83.88999938964844,1.0,22.199420061328166,-0.01777201137349522,0.7437916009355127,-0.006629592728685926,0.023105824786808032,3,0,0.568967342376709,0.5677635669708252,1,HIGH,LOW,MID,MID,MID,LOW,HIGH,LOW,HIGH
2019-03-29,2019-04-01,0.011789391005819612,UP,1.160275149267141,0.0074434828995055165,85.81999969482422,1.0,19.47088387425978,-0.010283054930347027,0.7476963659005023,0.0030197824632249275,0.018459971612421164,3,1,0.8759649395942688,0.5677635669708252,1,LOW,MID,MID,MID,MID,LOW,HIGH,HIGH,HIGH
2019-04-22,2019-04-23,0.008951499012848906,UP,1.8780094774469862,0.004166041084088474,83.2699966430664,1.0,32.988337809856205,0.0011007587350486611,0.10936866053493931,0.0003501919703614211,0.027936033979583996,3,1,0.09937997162342072,0.5677635669708252,0,HIGH,LOW,MID,MID,HIGH,MID,MID,MID,HIGH
2019-04-30,2019-05-01,-0.007544857686864009,DOWN,2.5570969410715154,0.0032321117507499906,88.55999755859375,1.0,35.698616815172926,-0.005628503688052608,0.5813720715947001,-0.0015899296834432576,-0.03671410194669826,3,0,0.3798939883708954,0.5677635669708252,0,HIGH,LOW,MID,MID,HIGH,LOW,HIGH,MID,LOW
2019-05-02,2019-05-03,0.009740191305968461,UP,2.350823830685637,0.003864069309438533,93.0199966430664,1.0,33.65737770396035,-0.005876374824649332,-0.6246983345805419,0.002280168788321683,-0.05354763147630966,3,1,0.36615511775016785,0.5677635669708252,0,HIGH,LOW,MID,MID,HIGH,LOW,LOW,MID,LOW
2019-05-06,2019-05-07,-0.016840741177932043,DOWN,2.2096646736257686,0.004401702042785925,94.8499984741211,1.0,30.61894114530362,-0.009587287377553742,-0.6135313408441451,-0.0030163605029678913,-0.019881370553828933,3,0,0.2369588315486908,0.5677635669708252,0,HIGH,LOW,HIGH,MID,HIGH,LOW,LOW,MID,MID
2019-05-10,2019-05-13,-0.02545139089151207,DOWN,1.7144044981995044,0.005893737932006715,96.01000213623047,0.0,27.750962049011427,-0.008260975229778648,1.2262573520889855,-0.0033463955766573563,-0.004530732390406708,3,0,0.29558470845222473,0.5677635669708252,0,HIGH,LOW,HIGH,MID,HIGH,LOW,HIGH,MID,MID
2019-05-13,2019-05-14,0.0090030333354504,UP,1.622679267239134,0.00797772115618681,105.5999984741211,0.0,27.792865698798067,-0.009301788884827071,-1.0010266960345104,-0.012256493879716676,-0.01962913336980585,3,1,0.3022754192352295,0.5677635669708252,0,HIGH,MID,HIGH,MID,HIGH,LOW,LOW,LOW,MID
2019-05-14,2019-05-15,0.0058403701425228565,UP,1.3666500997020894,0.008324537717176497,97.26000213623047,0.0,27.124655492212213,-0.006351278220385639,0.7401542052361855,-0.005525473193865433,0.006169807727018853,3,1,0.8298294544219971,0.5677635669708252,1,MID,MID,HIGH,MID,HIGH,LOW,HIGH,MID,MID
2019-05-15,2019-05-16,0.009218637124873778,UP,1.2236812087056645,0.008463173924057956,94.52999877929688,0.0,26.22149840223916,-0.008751965905051225,0.24265451644824212,-0.011071840401122409,-0.0016110600328936556,3,1,0.5917109847068787,0.5677635669708252,1,MID,MID,HIGH,MID,HIGH,LOW,MID,LOW,MID
2019-05-16,2019-05-17,-0.006486112083815541,DOWN,1.1011328818940527,0.008747168292035631,94.2300033569336,0.0,24.589419121534956,-0.007784841370869034,0.7996510993579302,-0.004013588080428557,0.018785142129053033,3,0,0.7243243455886841,0.5677635669708252,1,LOW,MID,MID,MID,MID,LOW,HIGH,MID,HIGH
2019-05-17,2019-05-20,-0.006633991589894881,DOWN,1.1378965032855684,0.008835474032169204,99.12000274658203,0.0,22.85019619775789,-0.008330761745648028,-0.7882978177879321,-0.006644571834005741,0.017682481137280073,3,0,0.6970142722129822,0.5677635669708252,1,LOW,MID,HIGH,MID,MID,LOW,LOW,LOW,HIGH
2019-05-20,2019-05-21,0.008975264330872007,UP,1.1514271231458086,0.008923130014057994,96.83000183105469,0.0,21.863397756220067,-0.004634712914616163,-0.29390553632880007,0.0045673826748373805,0.033191343390239984,3,1,0.1707007884979248,0.5677635669708252,0,LOW,MID,HIGH,MID,MID,LOW,MID,HIGH,HIGH
2019-05-22,2019-05-23,-0.012293830495202978,DOWN,1.0402350926348878,0.00893223723553496,89.30000305175781,0.0,19.558133359064502,-0.007093368331909471,-0.24399626444964084,0.007460540242063011,-0.00972143585255793,3,0,0.5651612281799316,0.5677635669708252,0,LOW,MID,MID,MID,MID,LOW,MID,HIGH,MID
2019-05-24,2019-05-28,-0.009344053622205415,DOWN,1.0852566347234733,0.009200184929691328,90.19000244140625,0.0,19.85689116666936,-0.003982059955269242,0.38352666342130726,-0.007397270167534524,-0.06807137192659929,3,0,0.9308972358703613,0.5677635669708252,1,LOW,MID,MID,MID,MID,MID,MID,LOW,LOW
2019-05-28,2019-05-29,-0.006733326325221417,DOWN,1.184091252370083,0.009310062694945883,95.08000183105469,0.0,20.298490945429194,-0.003954560410575923,-0.9900942659237703,-0.010419082566982565,-0.06481324126137251,3,0,0.8722105622291565,0.5677635669708252,1,MID,MID,HIGH,MID,MID,MID,LOW,LOW,LOW
2019-05-30,2019-05-31,-0.013566904278608705,DOWN,1.1671569353500069,0.009337197790422207,92.77999877929688,-1.0,22.22515023482346,-0.005478236879923125,0.16392250429031943,-0.01901400871444007,-0.08190319134984103,3,0,0.5606351494789124,0.5677635669708252,0,MID,MID,MID,LOW,MID,LOW,MID,LOW,LOW
2019-06-03,2019-06-04,0.021474402541057206,UP,1.2893131458985219,0.009214738630825337,96.02999877929688,-1.0,24.98054311493557,0.0034865562792182753,0.7630754691093442,-0.020889494407434376,-0.09624872460448486,3,1,0.6220897436141968,0.5677635669708252,1,MID,MID,HIGH,LOW,MID,MID,HIGH,LOW,LOW
