feature,direction,predictive_auc,fold_predictive_auc_mean,fold_predictive_auc_std,rows,flat_share,start_date,end_date
crude_return_1d,higher_flat,0.5313958702116597,0.5307693260465799,0.012867134044276045,3362,0.41225461035098154,2007-06-08,2020-10-26
vxn_vix_ratio,higher_flat,0.5191258769248683,0.5302960227720024,0.020034755323605175,3368,0.41211401425178146,2007-06-08,2020-10-26
iwm_relative_return,higher_flat,0.536177335312782,0.5297358846751451,0.004497809042024107,3368,0.41211401425178146,2007-06-08,2020-10-26
cross_asset_dispersion_1d,higher_move,0.5186472069397141,0.5293416527526015,0.02060692246808097,3368,0.41211401425178146,2007-06-08,2020-10-26
rty_nq_relative_return_5d,higher_flat,0.5290274441289946,0.529246534395679,0.019562154770242934,824,0.41504854368932037,2017-07-18,2020-10-26
iwm_qqq_relative_return_5d,higher_flat,0.5305493697784763,0.5276260624743186,0.012005002506333356,3368,0.41211401425178146,2007-06-08,2020-10-26
macd_histogram_change,higher_flat,0.5280917969318546,0.526962287955509,0.018929508788286552,3368,0.41211401425178146,2007-06-08,2020-10-26
es_nq_dispersion_1d,higher_move,0.5258777286077589,0.5262576918266095,0.01170751860449668,3364,0.41200951248513673,2007-06-08,2020-10-26
efficiency_ratio_40,higher_move,0.5064950659331063,0.5257454629319255,0.0030648088141834447,3368,0.41211401425178146,2007-06-08,2020-10-26
sector_average_correlation_20d,higher_move,0.5064932465869065,0.5249883791856396,0.005224033144144251,3368,0.41211401425178146,2007-06-08,2020-10-26
max_absolute_return_20,higher_move,0.5080005749133991,0.524744944790023,0.012710019133684611,3368,0.41211401425178146,2007-06-08,2020-10-26
credit_volatility_interaction,higher_move,0.5121925304922423,0.52419910910738,0.005272511574677544,3368,0.41211401425178146,2007-06-08,2020-10-26
lqd_return_5,higher_move,0.5099352676622129,0.5241845903663438,0.016441671092382967,3368,0.41211401425178146,2007-06-08,2020-10-26
distance_from_252d_low,higher_flat,0.5101928705397554,0.5240932100528853,0.017854779906311947,3157,0.41748495407031994,2008-04-10,2020-10-26
vix_change_abs,higher_move,0.519956954268914,0.5240705186016593,0.0073452859955198055,3368,0.41211401425178146,2007-06-08,2020-10-26
return_autocorrelation_40,higher_flat,0.5077463219714786,0.5240610989072911,0.020405657480707065,3367,0.4122364122364122,2007-06-11,2020-10-26
qqq_dia_relative_return_5d,higher_flat,0.5282970191831864,0.5234667773611853,0.008832631568751009,3368,0.41211401425178146,2007-06-08,2020-10-26
trend_breadth_confirmation,higher_flat,0.5171387870055018,0.5234196942886654,0.011393428303715598,3368,0.41211401425178146,2007-06-08,2020-10-26
skew_change_5,higher_flat,0.5233761741653703,0.5233167026404977,0.01796100238881686,3322,0.4124021673690548,2007-06-08,2020-10-26
month_sin,higher_flat,0.5015458984659273,0.5227833986456426,0.011547948136371283,3368,0.41211401425178146,2007-06-08,2020-10-26
dxy_return_5d,higher_move,0.5123141068210886,0.5227473502574186,0.01606099446943582,3364,0.4123067776456599,2007-06-08,2020-10-26
risk_on_score_20,higher_flat,0.5314746892556691,0.5227067882854888,0.006383586061909847,3368,0.41211401425178146,2007-06-08,2020-10-26
dia_relative_return_5,higher_move,0.5322315372747649,0.522602688688687,0.026039522686387477,3368,0.41211401425178146,2007-06-08,2020-10-26
directional_consensus_20,higher_flat,0.5261032515355282,0.5221692479549593,0.014633616026765809,3368,0.41211401425178146,2007-06-08,2020-10-26
vix3m_change,higher_move,0.5302149739469624,0.5220821256034874,0.00625328793548387,3368,0.41211401425178146,2007-06-08,2020-10-26
month_cos,higher_move,0.510377732657992,0.5220402416302968,0.0030534428688142852,3368,0.41211401425178146,2007-06-08,2020-10-26
gap_volatility_interaction,higher_flat,0.5273418624283178,0.5219642334702872,0.015125066545765651,3368,0.41211401425178146,2007-06-08,2020-10-26
hyg_return,higher_flat,0.5338594882543009,0.5216007147995533,0.011939757520650013,3368,0.41211401425178146,2007-06-08,2020-10-26
turn_of_month_flag,higher_move,0.512028061595785,0.5212000929650701,0.01931640941201995,3368,0.41211401425178146,2007-06-08,2020-10-26
atr_14_normalized,higher_move,0.5156481966640467,0.5211413596273278,0.009201473203077754,3368,0.41211401425178146,2007-06-08,2020-10-26
iwm_qqq_relative_return_1d,higher_flat,0.5241605536634355,0.5210127661814781,0.008238669400365432,3368,0.41211401425178146,2007-06-08,2020-10-26
vxn_change,higher_move,0.5285559121474107,0.5203605148727607,0.014770611753794355,3368,0.41211401425178146,2007-06-08,2020-10-26
vix9d_change,higher_move,0.5189906223845393,0.5195192053407299,0.006387959000802476,2467,0.40980948520470206,2011-01-05,2020-10-26
sector_return_dispersion,higher_move,0.5148473204669171,0.519344671031721,0.008928310308553497,3368,0.41211401425178146,2007-06-08,2020-10-26
qqq_relative_return_5,higher_flat,0.5183397374319564,0.5192435367389232,0.009262504910873394,3368,0.41211401425178146,2007-06-08,2020-10-26
futures_threeway_dispersion_5d,higher_move,0.5168947611074712,0.5191263147174252,0.01045286208766301,824,0.41504854368932037,2017-07-18,2020-10-26
day_of_week_sin,higher_flat,0.5089913908537828,0.5187016792726639,0.007682444168029928,3368,0.41211401425178146,2007-06-08,2020-10-26
bollinger_width_change_5,higher_flat,0.504004380985649,0.5182098549610032,0.00823660122687797,3368,0.41211401425178146,2007-06-08,2020-10-26
skew_level,higher_flat,0.5206276505513147,0.5178433146631772,0.014009358972262173,3345,0.4125560538116592,2007-06-08,2020-10-26
vvix_vix_ratio_change_abs,higher_move,0.5117111314877885,0.5176156240728041,0.011954504288516634,3368,0.41211401425178146,2007-06-08,2020-10-26
breadth_extremity,higher_move,0.5023511410939365,0.5167172065682476,0.010139945059697708,3368,0.41211401425178146,2007-06-08,2020-10-26
lqd_return,higher_move,0.5046835429220156,0.5164781666499864,0.011342560262583623,3368,0.41211401425178146,2007-06-08,2020-10-26
sector_return_dispersion_5d,higher_move,0.5120982883590953,0.5164776152914697,0.0007561076474557224,3368,0.41211401425178146,2007-06-08,2020-10-26
mean_absolute_return_20,higher_move,0.5069335283672459,0.5163723792880234,0.006728123012088622,3368,0.41211401425178146,2007-06-08,2020-10-26
nq_es_relative_return_5d,higher_flat,0.5176279193420807,0.5163215520043054,0.007357036238225949,3364,0.4123067776456599,2007-06-08,2020-10-26
cross_asset_dispersion_5d,higher_move,0.5044119145343928,0.5162542735865824,0.007456279286756096,3368,0.41211401425178146,2007-06-08,2020-10-26
relative_volume_5,higher_move,0.5136589235292406,0.5151730743633187,0.0052178146799236125,3368,0.41211401425178146,2007-06-08,2020-10-26
dia_relative_return,higher_move,0.517209923441912,0.5149118005279208,0.00779061258551982,3368,0.41211401425178146,2007-06-08,2020-10-26
rsp_relative_return,higher_flat,0.5183886778447298,0.5149117947228076,0.010195655935897394,3368,0.41211401425178146,2007-06-08,2020-10-26
sma_50_slope_5,higher_flat,0.5137644456088261,0.5142689677135968,0.004772635466631113,3368,0.41211401425178146,2007-06-08,2020-10-26
futures_cash_confirmation,higher_move,0.5068848969253419,0.5139706109398241,0.005960777031424764,3364,0.41200951248513673,2007-06-08,2020-10-26
return_sign_change_rate_10,higher_move,0.5036021764045515,0.5137731549793746,0.004209487452986736,3247,0.4133045888512473,2007-06-08,2020-10-26
return_sign_change_rate_20,higher_flat,0.5130346181928886,0.5133935358076228,0.010721138948054884,3137,0.41632132610774625,2007-06-08,2020-10-26
day_of_week_cos,higher_move,0.5027386618344831,0.5133614258680642,0.0059401856799493145,3368,0.41211401425178146,2007-06-08,2020-10-26
volatility_breadth_interaction,higher_move,0.5102807615055454,0.5131620234458354,0.011226190199175822,3368,0.41211401425178146,2007-06-08,2020-10-26
