family,feature,regime,threshold_source,lower_threshold_q33,upper_threshold_q67,rows,up_share,roc_auc,sign_accuracy,magnitude_weighted_sign_accuracy,mean_score
volatility,vix_level,MID,development_MOVE_tertiles_only,15.890000343322754,21.68000030517578,136,0.5,0.5369809688581315,0.5514705882352942,0.5915920225526018,0.4401497581838235
volatility,vix_level,HIGH,development_MOVE_tertiles_only,15.890000343322754,21.68000030517578,171,0.5964912280701754,0.5284171639670361,0.4678362573099415,0.47689345763811686,0.4132765422865497
volatility,vvix_level,LOW,development_MOVE_tertiles_only,85.68000030517578,98.16999816894531,45,0.5333333333333333,0.5496031746031746,0.5777777777777777,0.6212783483979288,0.45267831657777785
volatility,vvix_level,MID,development_MOVE_tertiles_only,85.68000030517578,98.16999816894531,65,0.5846153846153846,0.6617933723196882,0.6461538461538462,0.6446370366049448,0.46697469536923075
volatility,vvix_level,HIGH,development_MOVE_tertiles_only,85.68000030517578,98.16999816894531,220,0.5636363636363636,0.4949596774193548,0.4590909090909091,0.4635506518775403,0.4178199428409091
volatility,vix_vix3m_ratio,LOW,development_MOVE_tertiles_only,0.8893158717352782,0.9638157973851965,152,0.5131578947368421,0.5417532917532918,0.5328947368421053,0.5582861047744542,0.4348138184407895
volatility,vix_vix3m_ratio,MID,development_MOVE_tertiles_only,0.8893158717352782,0.9638157973851965,129,0.5968992248062015,0.5342157842157842,0.5116279069767442,0.5241421723818972,0.4295608447209302
volatility,vix_vix3m_ratio,HIGH,development_MOVE_tertiles_only,0.8893158717352782,0.9638157973851965,49,0.6326530612244898,0.553763440860215,0.4489795918367347,0.441280275268933,0.4314126019999999
volatility,implied_realized_ratio_20,LOW,development_MOVE_tertiles_only,1.1523902524316385,1.5091099711565616,95,0.5052631578947369,0.6462765957446809,0.5578947368421052,0.5376056543089816,0.4151619971894737
volatility,implied_realized_ratio_20,MID,development_MOVE_tertiles_only,1.1523902524316385,1.5091099711565616,135,0.6,0.5724737082761774,0.5777777777777777,0.5938175687935493,0.4206421787481482
volatility,implied_realized_ratio_20,HIGH,development_MOVE_tertiles_only,1.1523902524316385,1.5091099711565616,100,0.57,0.39086087311301504,0.38,0.38511940459104116,0.46417183006
trend,close_vs_sma_50,LOW,development_MOVE_tertiles_only,-0.011659604569938642,0.017635922820685934,101,0.594059405940594,0.5341463414634147,0.504950495049505,0.5163918230063833,0.4352226267623763
trend,close_vs_sma_50,MID,development_MOVE_tertiles_only,-0.011659604569938642,0.017635922820685934,100,0.57,0.5210118319053447,0.44,0.4200429936052376,0.41306575333000006
trend,close_vs_sma_50,HIGH,development_MOVE_tertiles_only,-0.011659604569938642,0.017635922820685934,129,0.5348837209302325,0.557487922705314,0.5736434108527132,0.6207718038148292,0.44480780026356587
trend,ma_alignment_score,LOW,development_MOVE_tertiles_only,0.0,1.0,188,0.5638297872340425,0.5572940635066728,0.5212765957446809,0.5182173032108516,0.4279618011702127
trend,ma_alignment_score,HIGH,development_MOVE_tertiles_only,0.0,1.0,142,0.5633802816901409,0.51875,0.5,0.527462610002878,0.4379397764084507
trend,adx_14,LOW,development_MOVE_tertiles_only,18.910488927718188,26.13796707481211,122,0.5491803278688525,0.4597014925373134,0.5,0.4789478881504992,0.43434322920491797
trend,adx_14,MID,development_MOVE_tertiles_only,18.910488927718188,26.13796707481211,105,0.5238095238095238,0.6247272727272727,0.5428571428571428,0.5904109853877195,0.4420369161809523
trend,adx_14,HIGH,development_MOVE_tertiles_only,18.910488927718188,26.13796707481211,103,0.6213592233009708,0.5588942307692308,0.49514563106796117,0.49829526519495004,0.41981084182524275
trend,signed_trend_efficiency_20,LOW,development_MOVE_tertiles_only,-0.11594124957373968,0.1462529679148449,100,0.58,0.5775862068965517,0.52,0.5369847421933819,0.46235605151000003
trend,signed_trend_efficiency_20,MID,development_MOVE_tertiles_only,-0.11594124957373968,0.1462529679148449,118,0.559322033898305,0.5314685314685315,0.5,0.4998584882313806,0.3913864003135593
trend,signed_trend_efficiency_20,HIGH,development_MOVE_tertiles_only,-0.11594124957373968,0.1462529679148449,112,0.5535714285714286,0.5125806451612904,0.5178571428571429,0.5273956950033677,0.4484380935892857
trend,distance_from_252d_high,LOW,development_MOVE_tertiles_only,-0.061029404142046606,-0.015149544974119432,146,0.5547945205479452,0.5692307692307691,0.547945205479452,0.5531013563161689,0.43015101043150683
trend,distance_from_252d_high,MID,development_MOVE_tertiles_only,-0.061029404142046606,-0.015149544974119432,94,0.6063829787234043,0.5007112375533428,0.4574468085106383,0.43822420548313074,0.43375498382978717
trend,distance_from_252d_high,HIGH,development_MOVE_tertiles_only,-0.061029404142046606,-0.015149544974119432,90,0.5333333333333333,0.5218253968253967,0.5111111111111111,0.5367833966038097,0.434102787411111
breadth,rsp_relative_return_20,LOW,development_MOVE_tertiles_only,-0.005330766166093653,0.0032706333095819384,103,0.5825242718446602,0.6375968992248061,0.5631067961165048,0.5693388502583839,0.4161898369417475
breadth,rsp_relative_return_20,MID,development_MOVE_tertiles_only,-0.005330766166093653,0.0032706333095819384,61,0.5573770491803278,0.5773420479302832,0.5409836065573771,0.5757915218425573,0.44779841178688523
breadth,rsp_relative_return_20,HIGH,development_MOVE_tertiles_only,-0.005330766166093653,0.0032706333095819384,166,0.5542168674698795,0.4668037602820211,0.46987951807228917,0.47840665114940756,0.43651211172289145
breadth,sector_positive_participation_5d,LOW,development_MOVE_tertiles_only,0.2222222222222222,0.7777777777777778,112,0.5714285714285714,0.5442708333333334,0.5267857142857143,0.5289358081181041,0.48668677376785713
breadth,sector_positive_participation_5d,MID,development_MOVE_tertiles_only,0.2222222222222222,0.7777777777777778,119,0.5546218487394958,0.49799885648942255,0.4789915966386555,0.4854983088254781,0.40778647926050415
breadth,sector_positive_participation_5d,HIGH,development_MOVE_tertiles_only,0.2222222222222222,0.7777777777777778,99,0.5656565656565656,0.5901162790697674,0.5353535353535354,0.557712504289756,0.40008845632323237
breadth,sector_return_dispersion_5d,LOW,development_MOVE_tertiles_only,0.010227231496942091,0.015482225064678595,43,0.6976744186046512,0.5692307692307692,0.5581395348837209,0.563242298149772,0.5041402916279071
breadth,sector_return_dispersion_5d,MID,development_MOVE_tertiles_only,0.010227231496942091,0.015482225064678595,83,0.4939759036144578,0.5632984901277585,0.5783132530120482,0.5939739134743632,0.46906681349397594
breadth,sector_return_dispersion_5d,HIGH,development_MOVE_tertiles_only,0.010227231496942091,0.015482225064678595,204,0.5637254901960784,0.5267220322423058,0.47549019607843135,0.4883023052854834,0.40212592553921567
breadth,sector_average_correlation_20d,LOW,development_MOVE_tertiles_only,0.5773285914067935,0.7291770937473867,198,0.5555555555555556,0.5419421487603305,0.5202020202020202,0.5319019298333161,0.46008999823232316
breadth,sector_average_correlation_20d,MID,development_MOVE_tertiles_only,0.5773285914067935,0.7291770937473867,82,0.5975609756097561,0.5856524427952999,0.5487804878048781,0.5847110371799803,0.3690988262560976
breadth,sector_average_correlation_20d,HIGH,development_MOVE_tertiles_only,0.5773285914067935,0.7291770937473867,50,0.54,0.45893719806763283,0.42,0.4151245223001997,0.42560686934
breadth,sector_volume_breadth,LOW,development_MOVE_tertiles_only,-0.4446527599026145,0.3937650259421886,100,0.59,0.44563869367507236,0.45,0.42879536850003874,0.43572604099
breadth,sector_volume_breadth,MID,development_MOVE_tertiles_only,-0.4446527599026145,0.3937650259421886,123,0.5528455284552846,0.6181818181818182,0.5853658536585366,0.597471699379832,0.4325031031544715
breadth,sector_volume_breadth,HIGH,development_MOVE_tertiles_only,-0.4446527599026145,0.3937650259421886,107,0.5514018691588785,0.533545197740113,0.48598130841121495,0.5316336416647295,0.42872692600934575
breadth,cyclical_defensive_spread_5d,LOW,development_MOVE_tertiles_only,-0.008922353493574616,0.004815327736137277,112,0.5714285714285714,0.5208333333333334,0.4732142857142857,0.49162142642535483,0.3896621467232143
breadth,cyclical_defensive_spread_5d,MID,development_MOVE_tertiles_only,-0.008922353493574616,0.004815327736137277,98,0.5204081632653061,0.526491447642887,0.5612244897959183,0.5619919804329174,0.4399799005918368
breadth,cyclical_defensive_spread_5d,HIGH,development_MOVE_tertiles_only,-0.008922353493574616,0.004815327736137277,120,0.5916666666666667,0.5688416211555044,0.5083333333333333,0.5179007022393659,0.465700634825
rates_credit,tlt_ief_relative_return_5,LOW,development_MOVE_tertiles_only,-0.0027186860349304835,0.006338001537554071,143,0.5314685314685315,0.5375098193244305,0.5454545454545454,0.5549567469982859,0.43623481028671335
rates_credit,tlt_ief_relative_return_5,MID,development_MOVE_tertiles_only,-0.0027186860349304835,0.006338001537554071,105,0.580952380952381,0.5383755588673622,0.4666666666666667,0.48623355837718396,0.4038855259047619
rates_credit,tlt_ief_relative_return_5,HIGH,development_MOVE_tertiles_only,-0.0027186860349304835,0.006338001537554071,82,0.5975609756097561,0.5578231292517006,0.5121951219512195,0.4990486648718235,0.4616427899878048
rates_credit,hyg_lqd_relative_return_5,LOW,development_MOVE_tertiles_only,-0.0064011456812414925,0.002060381153208373,61,0.6065573770491803,0.4921171171171171,0.4918032786885246,0.4864080898933873,0.4153405912459016
rates_credit,hyg_lqd_relative_return_5,MID,development_MOVE_tertiles_only,-0.0064011456812414925,0.002060381153208373,131,0.5725190839694656,0.6142857142857142,0.5267175572519084,0.5660164496773944,0.4300273626946565
rates_credit,hyg_lqd_relative_return_5,HIGH,development_MOVE_tertiles_only,-0.0064011456812414925,0.002060381153208373,138,0.5362318840579711,0.4894425675675675,0.5072463768115942,0.49759921192892165,0.4418471470362319
rates_credit,hyg_tlt_risk_on_5d,LOW,development_MOVE_tertiles_only,-0.01394612569936481,0.004394375439174515,59,0.6949152542372882,0.5284552845528456,0.5084745762711864,0.5478574998090806,0.4725378383050847
rates_credit,hyg_tlt_risk_on_5d,MID,development_MOVE_tertiles_only,-0.01394612569936481,0.004394375439174515,130,0.5230769230769231,0.5393738140417458,0.49230769230769234,0.5099732444101133,0.4009610233307693
rates_credit,hyg_tlt_risk_on_5d,HIGH,development_MOVE_tertiles_only,-0.01394612569936481,0.004394375439174515,141,0.5460992907801419,0.5399756493506493,0.5319148936170213,0.5213460510822537,0.444252492035461
liquidity,relative_volume_20,LOW,development_MOVE_tertiles_only,0.8542342081588382,1.1338321854856181,103,0.6019417475728155,0.6254917387883556,0.5533980582524272,0.555658914022003,0.44837463547572803
liquidity,relative_volume_20,MID,development_MOVE_tertiles_only,0.8542342081588382,1.1338321854856181,109,0.5229357798165137,0.5020242914979758,0.5045871559633027,0.518082819704539,0.4696598728440368
liquidity,relative_volume_20,HIGH,development_MOVE_tertiles_only,0.8542342081588382,1.1338321854856181,118,0.5677966101694916,0.5100965759438103,0.4830508474576271,0.4946335527778267,0.38363350233898297
liquidity,log_volume_change,LOW,development_MOVE_tertiles_only,-0.13808169459955957,0.12582652495138527,103,0.5922330097087378,0.5952380952380952,0.5145631067961165,0.5510890420291016,0.4333893667864076
liquidity,log_volume_change,MID,development_MOVE_tertiles_only,-0.13808169459955957,0.12582652495138527,126,0.5317460317460317,0.5274475082216039,0.5158730158730159,0.5062810292664707,0.4430668055714286
liquidity,log_volume_change,HIGH,development_MOVE_tertiles_only,-0.13808169459955957,0.12582652495138527,101,0.5742574257425742,0.5108259823576584,0.504950495049505,0.5110132901228439,0.41761133256435645
