family,feature,regime,outer_fold,rows,up_share,roc_auc,mean_score
breadth,sector_volume_breadth,LOW,3,94,0.574468085106383,0.5847222222222221,0.581728035148154
breadth,sector_volume_breadth,MID,3,120,0.55,0.5367564534231201,0.5546520339945952
breadth,sector_volume_breadth,HIGH,3,103,0.5533980582524272,0.6533180778032036,0.5357171008815464
rates_credit,hyg_lqd_relative_return_5,LOW,1,80,0.5625,0.6158730158730158,0.5664508890729394
rates_credit,hyg_lqd_relative_return_5,MID,1,145,0.5724137931034483,0.5161290322580645,0.6349257310298432
rates_credit,hyg_lqd_relative_return_5,HIGH,1,120,0.5666666666666667,0.5865384615384615,0.6531464833855731
rates_credit,hyg_lqd_relative_return_5,LOW,2,118,0.5932203389830508,0.60625,0.539046762858407
rates_credit,hyg_lqd_relative_return_5,MID,2,117,0.5042735042735043,0.5260081823495032,0.5381883920257927
rates_credit,hyg_lqd_relative_return_5,HIGH,2,94,0.5851063829787234,0.4801864801864802,0.5300603816483883
rates_credit,hyg_lqd_relative_return_5,LOW,3,101,0.5544554455445545,0.5837301587301588,0.5832020560703656
rates_credit,hyg_lqd_relative_return_5,MID,3,134,0.5597014925373134,0.632994350282486,0.5565228710479256
rates_credit,hyg_lqd_relative_return_5,HIGH,3,82,0.5609756097560976,0.5108695652173912,0.5236837608603443
cross_asset,crude_return_5d,LOW,1,74,0.527027027027027,0.6505494505494507,0.5412813814671461
cross_asset,crude_return_5d,MID,1,198,0.5959595959595959,0.5259533898305084,0.6400536652558362
cross_asset,crude_return_5d,HIGH,1,73,0.5342465753424658,0.5580693815987934,0.6708552353726963
cross_asset,crude_return_5d,LOW,2,140,0.5428571428571428,0.5495476973684209,0.5350775190762111
cross_asset,crude_return_5d,MID,2,93,0.5591397849462365,0.5262664165103189,0.5448823080908868
cross_asset,crude_return_5d,HIGH,2,94,0.574468085106383,0.5203703703703704,0.528408279127263
cross_asset,crude_return_5d,LOW,3,127,0.5275590551181102,0.6228855721393035,0.5610599770966008
cross_asset,crude_return_5d,MID,3,89,0.6292134831460674,0.5768398268398268,0.5799101071662447
cross_asset,crude_return_5d,HIGH,3,100,0.54,0.5543478260869565,0.5348773583397269
