target_name,volatility_window,threshold_multiplier,down_share,flat_share,up_share,median_flat_boundary,median_flat_boundary_percent,flat_share_block_min,flat_share_block_max,flat_share_block_range,flat_share_by_block,decision_threshold,stage1_roc_auc,stage1_average_precision,stage1_brier_score,stage1_balanced_accuracy,stage1_macro_f1,stage1_flat_precision,stage1_flat_recall,stage1_flat_f1,stage1_move_f1,stage1_roc_auc_fold_mean,stage1_roc_auc_fold_std,stage1_flat_f1_fold_mean,stage1_flat_f1_fold_std,fold_metrics,oof_rows,neighbor_roc_auc_mean,neighbor_roc_auc_min
flat_5d_k375,5,0.375,0.3087228341768383,0.30425721941053885,0.38701994641262283,0.0028561817383909067,0.28561817383909066,0.2846497764530551,0.3229166666666667,0.03826689021361157,"[0.3080357142857143, 0.31845238095238093, 0.28720238095238093, 0.3229166666666667, 0.2846497764530551]",0.4460749626159668,0.5781838167664939,0.7410043160824995,0.24270850216787648,0.5566087892859546,0.5580098970280403,0.39717425431711145,0.3320209973753281,0.36168691922802,0.7543328748280606,0.5782552150166903,0.022957295833683555,0.35261039890466805,0.06561901024859844,"[{'roc_auc': 0.5475252600196954, 'average_precision': 0.7238510038374278, 'balanced_accuracy': 0.5273745767513389, 'flat_f1': 0.31533477321814257, 'flat_recall': 0.2885375494071146}, {'roc_auc': 0.6026925983375094, 'average_precision': 0.7595666600284057, 'balanced_accuracy': 0.5894384122817484, 'flat_f1': 0.4448462929475588, 'flat_recall': 0.47126436781609193}, {'roc_auc': 0.5845477866928661, 'average_precision': 0.756527403188846, 'balanced_accuracy': 0.5489295071229736, 'flat_f1': 0.29765013054830286, 'flat_recall': 0.22983870967741934}]",2517,0.5741227865231393,0.5675647776959508
flat_5d_k600,5,0.6,0.24263173563560583,0.4566835367668949,0.30068472759749926,0.0045698907814254505,0.456989078142545,0.43452380952380953,0.47470238095238093,0.0401785714285714,"[0.46875, 0.47470238095238093, 0.43452380952380953, 0.46130952380952384, 0.44411326378539495]",0.5092016756534576,0.5779132091496517,0.6024975097824239,0.24478085264331703,0.564859767318191,0.5648976662202312,0.5262172284644194,0.49559082892416223,0.5104450499545867,0.6193502824858758,0.5798817192880933,0.029661833372805778,0.5067939542316975,0.04730254500302244,"[{'roc_auc': 0.5379545715269015, 'average_precision': 0.5789212080230751, 'balanced_accuracy': 0.5475823104278995, 'flat_f1': 0.44036697247706424, 'flat_recall': 0.37994722955145116}, {'roc_auc': 0.5996954022988507, 'average_precision': 0.6232023648031174, 'balanced_accuracy': 0.5781810344827586, 'flat_f1': 0.5468549422336328, 'flat_recall': 0.568}, {'roc_auc': 0.6019951840385276, 'average_precision': 0.6367578231664177, 'balanced_accuracy': 0.5693011122577687, 'flat_f1': 0.5331599479843954, 'flat_recall': 0.5394736842105263}]",2517,0.5817830156561038,0.5779132091496517
flat_5d_k300,5,0.3,0.33224173861268236,0.25275379577255136,0.4150044656147663,0.0022849453907127252,0.2284945390712725,0.22503725782414308,0.27529761904761907,0.05026036122347599,"[0.2693452380952381, 0.2604166666666667, 0.23363095238095238, 0.27529761904761907, 0.22503725782414308]",0.4590504467487335,0.5777592128469322,0.7874449836796051,0.24179300441672097,0.561976911976912,0.5599802035781294,0.33480176211453744,0.36363636363636365,0.3486238532110092,0.7713365539452496,0.5780496444318929,0.013190720310269249,0.34765359377124977,0.01751353415731845,"[{'roc_auc': 0.5600265644338455, 'average_precision': 0.7744177647930799, 'balanced_accuracy': 0.5472462040027772, 'flat_f1': 0.32558139534883723, 'flat_recall': 0.33175355450236965}, {'roc_auc': 0.5828935599284436, 'average_precision': 0.8006816526180969, 'balanced_accuracy': 0.5609868813357185, 'flat_f1': 0.3684210526315789, 'flat_recall': 0.4232558139534884}, {'roc_auc': 0.5912288089333895, 'average_precision': 0.7954061980183614, 'balanced_accuracy': 0.5757575757575758, 'flat_f1': 0.3489583333333333, 'flat_recall': 0.3333333333333333}]",2517,0.5725881377603996,0.5690738730043834
flat_10d_k225,10,0.225,0.35397439714200657,0.20631140220303662,0.4397142006549568,0.0018200700093527842,0.1820070009352784,0.18926974664679583,0.22470238095238096,0.03543263430558513,"[0.20386904761904762, 0.21577380952380953, 0.19791666666666666, 0.22470238095238096, 0.18926974664679583]",0.454372301697731,0.5775990909441084,0.8236826391562397,0.22608866870870795,0.5571800007703863,0.5584001608591772,0.30327868852459017,0.2846153846153846,0.29365079365079366,0.8231495280675608,0.5792200119542888,0.01657897680806741,0.28366863665199177,0.04873344202279159,"[{'roc_auc': 0.5712956799289944, 'average_precision': 0.8108054934612491, 'balanced_accuracy': 0.5452148087459675, 'flat_f1': 0.2582781456953642, 'flat_recall': 0.22033898305084745}, {'roc_auc': 0.6022923174082987, 'average_precision': 0.8436060218761122, 'balanced_accuracy': 0.5794928909143666, 'flat_f1': 0.35185185185185186, 'flat_recall': 0.4293785310734463}, {'roc_auc': 0.5640720385255733, 'average_precision': 0.8296144315358938, 'balanced_accuracy': 0.5436769365724413, 'flat_f1': 0.24087591240875914, 'flat_recall': 0.19879518072289157}]",2517,0.5814558385967042,0.5775990909441084
flat_10d_k475,10,0.475,0.2694254242334028,0.3923786841321822,0.338195891634415,0.003842370019744766,0.38423700197447663,0.3601190476190476,0.4211309523809524,0.06101190476190477,"[0.40029761904761907, 0.40476190476190477, 0.3601190476190476, 0.4211309523809524, 0.37555886736214605]",0.5019490122795105,0.577027858102068,0.6617721434062305,0.24185037054567018,0.5556202356110306,0.5554860107884587,0.45610494450050454,0.4616956077630235,0.4588832487309645,0.652088772845953,0.5778800906745668,0.030817028072759857,0.456649203912099,0.0417488292427005,"[{'roc_auc': 0.5357418111753371, 'average_precision': 0.6431039901250419, 'balanced_accuracy': 0.5281761801541426, 'flat_f1': 0.3980263157894737, 'flat_recall': 0.378125}, {'roc_auc': 0.6085829150510265, 'average_precision': 0.6853983951710886, 'balanced_accuracy': 0.5670213145562243, 'flat_f1': 0.4798807749627422, 'flat_recall': 0.486404833836858}, {'roc_auc': 0.5893155457973367, 'average_precision': 0.6736532268175688, 'balanced_accuracy': 0.5703009402892463, 'flat_f1': 0.492040520984081, 'flat_recall': 0.5182926829268293}]",2517,0.5754356324573456,0.5737119027509259
flat_5d_k400,5,0.4,0.29770765108663294,0.3250967549866032,0.37719559392676394,0.003046593854283634,0.3046593854283634,0.3020833333333333,0.34672619047619047,0.04464285714285715,"[0.33035714285714285, 0.34375, 0.3020833333333333, 0.34672619047619047, 0.3025335320417288]",0.4505741447210312,0.5766197651069731,0.7216071319734638,0.24317550623194645,0.5505680915302718,0.5506857182772833,0.41262135922330095,0.31403940886699505,0.35664335664335667,0.7447280799112098,0.576626689279481,0.03153788823307858,0.35033663954290845,0.05738532014341533,"[{'roc_auc': 0.5372901538979278, 'average_precision': 0.6986868449286974, 'balanced_accuracy': 0.5300191563442447, 'flat_f1': 0.30357142857142855, 'flat_recall': 0.2490842490842491}, {'roc_auc': 0.6145003223726628, 'average_precision': 0.7502459563147024, 'balanced_accuracy': 0.5762927143778207, 'flat_f1': 0.4311594202898551, 'flat_recall': 0.43272727272727274}, {'roc_auc': 0.5780895915678524, 'average_precision': 0.7352885772133471, 'balanced_accuracy': 0.543570487483531, 'flat_f1': 0.31627906976744186, 'flat_recall': 0.25757575757575757}]",2517,0.5796827966873124,0.5766197651069731
flat_10d_k450,10,0.45,0.27597499255730873,0.3780887168800238,0.34593629056266745,0.0036401400187055684,0.3640140018705568,0.35267857142857145,0.40029761904761907,0.047619047619047616,"[0.3913690476190476, 0.3913690476190476, 0.35267857142857145, 0.40029761904761907, 0.35469448584202684]",0.49757856130599976,0.5755671365190431,0.6762940514010534,0.24265666079815731,0.5568914831326911,0.5553352455131757,0.4384765625,0.47816826411075614,0.4574630667345899,0.6532074242917616,0.5762355451648514,0.021396309732266538,0.45702097326176316,0.030042308571888506,"[{'roc_auc': 0.5483177627160042, 'average_precision': 0.6619609075426849, 'balanced_accuracy': 0.5276118947304146, 'flat_f1': 0.41910631741140214, 'flat_recall': 0.4401294498381877}, {'roc_auc': 0.6003014227152158, 'average_precision': 0.6921008668897658, 'balanced_accuracy': 0.5784573185435254, 'flat_f1': 0.49258160237388726, 'flat_recall': 0.5203761755485894}, {'roc_auc': 0.5800874500633343, 'average_precision': 0.6890632913520693, 'balanced_accuracy': 0.5639859202962096, 'flat_f1': 0.459375, 'flat_recall': 0.47266881028938906}]",2517,0.5782407474909635,0.5755671365190431
flat_15d_k150,15,0.15,0.3831497469484966,0.1491515331944031,0.4676987198571003,0.0012435389006998463,0.12435389006998462,0.13541666666666666,0.16964285714285715,0.03422619047619049,"[0.13541666666666666, 0.15773809523809523, 0.13839285714285715, 0.16964285714285715, 0.14456035767511177]",0.4762970209121704,0.5746804808875816,0.8702613949980024,0.20764975828336454,0.5542338270595921,0.5466529535833266,0.22289156626506024,0.2898172323759791,0.25198637911464244,0.8413195280520106,0.5776205809875622,0.04550608026595724,0.24078742694849523,0.07028644087798587,"[{'roc_auc': 0.5537879820138983, 'average_precision': 0.8658253012395691, 'balanced_accuracy': 0.5208702366353273, 'flat_f1': 0.184, 'flat_recall': 0.18699186991869918}, {'roc_auc': 0.6413076292750248, 'average_precision': 0.8978690231118547, 'balanced_accuracy': 0.6148865743735714, 'flat_f1': 0.3398328690807799, 'flat_recall': 0.46564885496183206}, {'roc_auc': 0.5377661316737635, 'average_precision': 0.8599622040054776, 'balanced_accuracy': 0.5229610219456272, 'flat_f1': 0.19852941176470587, 'flat_recall': 0.20930232558139536}]",2517,0.5713891779454982,0.5491684470696662
flat_60d_k150,60,0.15,0.3754093480202441,0.1682048228639476,0.4563858291158083,0.0013069324862327975,0.13069324862327975,0.15625,0.1875,0.03125,"[0.15625, 0.17261904761904762, 0.15625, 0.1875, 0.16840536512667661]",0.4662199765443802,0.5742283950617284,0.8636073107787055,0.2302293859751517,0.5492339461763922,0.535397528691687,0.2252663622526636,0.3425925925925926,0.27180899908172634,0.7989860583016477,0.5751629528520291,0.02537813577437641,0.2654000817918151,0.03774007426213979,"[{'roc_auc': 0.5519108931126099, 'average_precision': 0.8596587085381546, 'balanced_accuracy': 0.5270079705702023, 'flat_f1': 0.2222222222222222, 'flat_recall': 0.24285714285714285}, {'roc_auc': 0.6104655735126421, 'average_precision': 0.8788479335831476, 'balanced_accuracy': 0.5724214541307853, 'flat_f1': 0.3141592920353982, 'flat_recall': 0.48299319727891155}, {'roc_auc': 0.5631123919308357, 'average_precision': 0.8588386167199586, 'balanced_accuracy': 0.5452499254695419, 'flat_f1': 0.2598187311178248, 'flat_recall': 0.296551724137931}]",2517,0.5750877439611363,0.5633233041507981
flat_10d_k500,10,0.5,0.26287585590949686,0.41292051205715985,0.32420363203334324,0.004044600020783965,0.40446000207839644,0.3794642857142857,0.43452380952380953,0.055059523809523836,"[0.4181547619047619, 0.43005952380952384, 0.3794642857142857, 0.43452380952380953, 0.40238450074515647]",0.49312064051628113,0.5737119027509259,0.6374952977164847,0.2433387997425829,0.5541934877479169,0.5541735652992474,0.48148148148148145,0.42870999030067897,0.45356593124679323,0.6547811993517018,0.5755426523416372,0.03302137445504839,0.4524189700578634,0.040033631576333994,"[{'roc_auc': 0.5288989744194271, 'average_precision': 0.6153801588202052, 'balanced_accuracy': 0.5200282918778734, 'flat_f1': 0.3961661341853035, 'flat_recall': 0.36470588235294116}, {'roc_auc': 0.6008373670635623, 'average_precision': 0.6694148718982584, 'balanced_accuracy': 0.575283538847472, 'flat_f1': 0.475, 'flat_recall': 0.44574780058651026}, {'roc_auc': 0.5968916155419223, 'average_precision': 0.6489089540716146, 'balanced_accuracy': 0.5663862109260882, 'flat_f1': 0.486090775988287, 'flat_recall': 0.4742857142857143}]",2517,0.57771069375263,0.5737119027509259
flat_10d_k175,10,0.175,0.37392080976481096,0.16880023816612086,0.45727895206906816,0.0014156100072743876,0.14156100072743877,0.15797317436661698,0.18601190476190477,0.028038730395287786,"[0.16815476190476192, 0.17113095238095238, 0.16071428571428573, 0.18601190476190477, 0.15797317436661698]",0.4576975554227829,0.5730823103842178,0.8598194648518757,0.22049172541123,0.548326412939022,0.5457218817884123,0.23890063424947147,0.2684085510688836,0.25279642058165547,0.8386473429951691,0.5752352660536654,0.02464594921144672,0.2472492384373873,0.0428671532969923,"[{'roc_auc': 0.5724562580015851, 'average_precision': 0.8556553914531184, 'balanced_accuracy': 0.5534099453352029, 'flat_f1': 0.24267782426778242, 'flat_recall': 0.20567375886524822}, {'roc_auc': 0.6067136725935008, 'average_precision': 0.8809257405437736, 'balanced_accuracy': 0.5748211731044349, 'flat_f1': 0.3018867924528302, 'flat_recall': 0.4}, {'roc_auc': 0.5465358675659104, 'average_precision': 0.8508859004067624, 'balanced_accuracy': 0.5170243204577969, 'flat_f1': 0.19718309859154928, 'flat_recall': 0.2}]",2517,0.5715817291748012,0.5630848340672674
flat_5d_k275,5,0.275,0.3399821375409348,0.23548675200952665,0.42453111044953856,0.0020945332748199983,0.20945332748199982,0.21460506706408347,0.25595238095238093,0.04134731388829746,"[0.24553571428571427, 0.2425595238095238, 0.21875, 0.25595238095238093, 0.21460506706408347]",0.48175038397312164,0.5709313274298833,0.799910065669964,0.2342091753111033,0.5543543233778737,0.5465411991796356,0.2979002624671916,0.38605442176870747,0.3362962962962963,0.756786102062975,0.5728029127230715,0.014260340875477411,0.33723010541623316,0.016505442912147804,"[{'roc_auc': 0.5549803810334232, 'average_precision': 0.7865563451629665, 'balanced_accuracy': 0.5419286468428435, 'flat_f1': 0.3298538622129436, 'flat_recall': 0.398989898989899}, {'roc_auc': 0.573540806806142, 'average_precision': 0.8151508987600037, 'balanced_accuracy': 0.5406209972010058, 'flat_f1': 0.3217391304347826, 'flat_recall': 0.3756345177664975}, {'roc_auc': 0.5898875503296491, 'average_precision': 0.8077483854293036, 'balanced_accuracy': 0.5802547362004523, 'flat_f1': 0.36009732360097324, 'flat_recall': 0.38341968911917096}]",2517,0.5714225563834904,0.5655771288736557
flat_5d_k325,5,0.325,0.3245013396844299,0.2706162548377493,0.4048824054778208,0.0024753575066054525,0.24753575066054526,0.2459016393442623,0.2931547619047619,0.04725312256049963,"[0.27976190476190477, 0.2767857142857143, 0.25744047619047616, 0.2931547619047619, 0.2459016393442623]",0.437995120882988,0.5690738730043834,0.7681469288213187,0.24362955143434536,0.5469501749306309,0.5482589461835052,0.3476027397260274,0.30074074074074075,0.32247815726767276,0.7740397350993378,0.5703349916955494,0.018389831686945426,0.31930391215442283,0.03072254165416029,"[{'roc_auc': 0.5501409026530582, 'average_precision': 0.7574644683078446, 'balanced_accuracy': 0.5380802196037204, 'flat_f1': 0.3148148148148148, 'flat_recall': 0.3063063063063063}, {'roc_auc': 0.5946245673518401, 'average_precision': 0.7868469315802806, 'balanced_accuracy': 0.5555202373384192, 'flat_f1': 0.358974358974359, 'flat_recall': 0.358974358974359}, {'roc_auc': 0.5662395050817499, 'average_precision': 0.77239566562223, 'balanced_accuracy': 0.5446641626159965, 'flat_f1': 0.2841225626740947, 'flat_recall': 0.2328767123287671}]",2517,0.5714659545157555,0.5675647776959508
