candidate_name,groups,group_count,feature_count,training_rows,training_start,training_end,stage1_roc_auc,matched_base_roc_auc,delta_roc_auc_vs_matched_base,stage1_roc_auc_fold_std,stage1_balanced_accuracy,stage1_flat_precision,stage1_flat_recall,stage1_flat_f1,matched_base_flat_f1,delta_flat_f1_vs_matched_base,stage1_move_f1,stage1_brier_score
futures_core+macro_cross_asset+technical_dynamics+trend_direction+volatility_options_core,futures_core|macro_cross_asset|technical_dynamics|trend_direction|volatility_options_core,5,92,3078,2008-04-10,2020-10-26,0.5885516941317235,0.5850352345212844,0.0035164596104391155,0.023417190738562802,0.5840617206255972,0.5145413870246085,0.48677248677248675,0.5002718868950516,0.5077928607340372,-0.007520973838985534,0.6688288288288289,0.24598198135948957
equity_rotation+flat_regime_state+interaction_consensus+technical_dynamics+trend_direction,equity_rotation|flat_regime_state|interaction_consensus|technical_dynamics|trend_direction,5,115,2943,2008-04-10,2020-10-26,0.573681158633973,0.570775078925327,0.002906079708645981,0.012174885100095354,0.5703783329207628,0.5061124694376528,0.4534501642935378,0.4783362218370884,0.48488063660477454,-0.006544414767686135,0.6629339305711086,0.24654394888086847
equity_rotation+flat_regime_state+interaction_consensus+macro_cross_asset+trend_direction+volatility_options_core,equity_rotation|flat_regime_state|interaction_consensus|macro_cross_asset|trend_direction|volatility_options_core,6,116,2875,2008-04-10,2020-10-26,0.555987217522144,0.5530848107824211,0.0029024067397228626,0.021997116376704644,0.5441779752441517,0.46531483457844186,0.48660714285714285,0.4757228587015821,0.4275184275184275,0.048204431183154595,0.6117171717171718,0.2513926023195135
calendar+flat_regime_state+interaction_consensus+rates_credit+trend_direction,calendar|flat_regime_state|interaction_consensus|rates_credit|trend_direction,5,109,2943,2008-04-10,2020-10-26,0.5735082180678809,0.570775078925327,0.0027331391425539087,0.030908847975662096,0.559214341181218,0.4774774774774775,0.5224534501642936,0.4989539748953975,0.48488063660477454,0.014073338290622961,0.6164931945556446,0.24904063328044593
calendar+equity_rotation+flat_regime_state+technical_dynamics+trend_direction+volatility_options_core,calendar|equity_rotation|flat_regime_state|technical_dynamics|trend_direction|volatility_options_core,6,126,2883,2008-04-10,2020-10-26,0.5678728596858047,0.5653201994801086,0.002552660205696111,0.035130634928862405,0.5583182640144666,0.4742468415937804,0.5446428571428571,0.507012987012987,0.5159332321699545,-0.008920245156967432,0.6037578288100208,0.25086997090707286
breadth+flat_regime_state+rates_credit+trend_direction,breadth|flat_regime_state|rates_credit|trend_direction,4,103,2943,2008-04-10,2020-10-26,0.5727935666109414,0.570775078925327,0.002018487685614412,0.017422775926907445,0.5633538940450799,0.4975369458128079,0.4424972617743702,0.46840579710144925,0.48488063660477454,-0.01647483950332529,0.6584729981378026,0.24920067132419038
flat_regime_state+macro_cross_asset+rates_credit+technical_dynamics+trend_direction,flat_regime_state|macro_cross_asset|rates_credit|technical_dynamics|trend_direction,5,117,2935,2008-04-10,2020-10-26,0.5849623086465192,0.5829669842827738,0.0019953243637453877,0.006811994938898298,0.571960751237067,0.4864612511671335,0.5712719298245614,0.5254664649520928,0.47131608548931386,0.05415037946277895,0.610351966873706,0.24618468094203674
calendar+macro_cross_asset+trend_direction+volatility_options_core,calendar|macro_cross_asset|trend_direction|volatility_options_core,4,70,3078,2008-04-10,2020-10-26,0.5867864718084982,0.5850352345212844,0.0017512372872138249,0.011302824415517287,0.5663543341957439,0.48739495798319327,0.491005291005291,0.48919346336320507,0.5077928607340372,-0.018599397370832105,0.6433566433566433,0.24809363072059717
breadth+calendar+futures_core+interaction_consensus+trend_direction+volatility_options_core,breadth|calendar|futures_core|interaction_consensus|trend_direction|volatility_options_core,6,99,3084,2008-04-10,2020-10-26,0.5893984393963522,0.5877804765298755,0.001617962866476641,0.032195241227780634,0.5683459827674973,0.4881565396498455,0.5005279831045406,0.4942648592283629,0.4749455337690632,0.019319325459299708,0.6418020679468243,0.2462608825190721
flat_regime_state+macro_cross_asset+rates_credit+trend_direction,flat_regime_state|macro_cross_asset|rates_credit|trend_direction,4,96,2935,2008-04-10,2020-10-26,0.5845005384479068,0.5829669842827738,0.001533554165133011,0.01329422394984797,0.573388234572445,0.4968553459119497,0.5197368421052632,0.5080385852090032,0.47131608548931386,0.03672249971968938,0.6374407582938388,0.24761267352041774
