candidate_name,groups,group_count,feature_count,training_rows,training_start,training_end,stage2_roc_auc,matched_base_roc_auc,delta_roc_auc_vs_matched_base,stage2_roc_auc_fold_mean,stage2_roc_auc_fold_std,stage2_average_precision,stage2_brier_score,stage2_balanced_accuracy,stage2_macro_f1,stage2_down_f1,stage2_up_f1
equity_rotation+futures_core+interaction_consensus,equity_rotation|futures_core|interaction_consensus,3,53,3362,2007-06-08,2020-10-26,0.5183177723912978,0.4828885746775593,0.035429197713738536,0.5240971081602533,0.026471634966141792,0.5745207966179616,0.25697872886179646,0.5292702815932011,0.5248295561263443,0.40684068406840684,0.6428184281842818
breadth+equity_rotation+technical_dynamics,breadth|equity_rotation|technical_dynamics,3,67,3368,2007-06-08,2020-10-26,0.5091688577026778,0.4744509384704987,0.03471791923217915,0.5070886829328575,0.006650321710613737,0.5929738594132629,0.259556801724616,0.5128084894969828,0.5067180743283293,0.48807854137447404,0.5253576072821846
equity_rotation+rates_credit+technical_dynamics,equity_rotation|rates_credit|technical_dynamics,3,68,3368,2007-06-08,2020-10-26,0.5090609340605154,0.4744509384704987,0.03460999559001676,0.5143789579972846,0.0072177481667095285,0.5853552009133904,0.2575451595563553,0.5223178648982075,0.5201059549939997,0.41486603284356094,0.6253458771444383
rates_credit+technical_dynamics,rates_credit|technical_dynamics,2,58,3368,2007-06-08,2020-10-26,0.5082961648031231,0.4744509384704987,0.033845226332624434,0.5063604244267342,0.01038903339133833,0.5820136316644633,0.25976545546437757,0.5244586605931707,0.5216783216783216,0.4125874125874126,0.6307692307692307
futures_core+interaction_consensus+volatility_options_short,futures_core|interaction_consensus|volatility_options_short,3,49,2457,2011-01-11,2020-10-26,0.5152519423807633,0.48160409459536097,0.03364784778540236,0.5172186148175997,0.027029899248478137,0.5869662702838994,0.2583209988260048,0.5255309646685192,0.5166084909137423,0.5080568720379147,0.52516010978957
equity_rotation+technical_dynamics+volatility_options_short,equity_rotation|technical_dynamics|volatility_options_short,3,58,2463,2011-01-11,2020-10-26,0.5134967762026427,0.47987161430502573,0.03362516189761694,0.5226863464959539,0.0311312430246466,0.5836614341838248,0.26123074605579455,0.5156925679262242,0.513495092693566,0.40714285714285714,0.6198473282442748
breadth+futures_core+rates_credit+volatility_options_core,breadth|futures_core|rates_credit|volatility_options_core,4,76,3295,2007-06-08,2020-10-26,0.5239788561307817,0.4904351028980737,0.033543753232707973,0.525154463145688,0.013700386184460967,0.5943622013383969,0.25546269116385106,0.5237163210607985,0.5143600999063705,0.37095191364082436,0.6577682861719167
futures_core+interaction_consensus+macro_cross_asset,futures_core|interaction_consensus|macro_cross_asset,3,51,3356,2007-06-08,2020-10-26,0.5201121367572724,0.4869818463133069,0.03313029044396554,0.5192467781566269,0.015217329778868388,0.5914762423185886,0.2538586135780847,0.5180034700054829,0.5169194726336047,0.4219409282700422,0.6118980169971672
breadth+calendar+technical_dynamics,breadth|calendar|technical_dynamics,3,66,3368,2007-06-08,2020-10-26,0.507523022159701,0.4744509384704987,0.033072083689202336,0.5069495277806734,0.018620466921682368,0.5701816009132636,0.2637702692898679,0.5160685277912682,0.5147946401457637,0.4172297297297297,0.6123595505617978
futures_core+interaction_consensus+technical_dynamics+trend_direction,futures_core|interaction_consensus|technical_dynamics|trend_direction,4,82,3151,2008-04-10,2020-10-26,0.514513785041808,0.48245329514100976,0.03206048990079824,0.5162261576393296,0.00249976988027358,0.5856413865579824,0.2603207258798681,0.5172139261568273,0.5166012129193416,0.46586345381526106,0.5673389720234222
calendar+equity_rotation+futures_core,calendar|equity_rotation|futures_core,3,50,3362,2007-06-08,2020-10-26,0.5146538438519317,0.4828885746775593,0.03176526917437239,0.514551668874586,0.03648156308041722,0.5991963160407698,0.25743919784504393,0.5130584732321872,0.5091246098262909,0.4802300503235083,0.5380191693290735
breadth+calendar+equity_rotation+rates_credit,breadth|calendar|equity_rotation|rates_credit,4,71,3368,2007-06-08,2020-10-26,0.5057841489941702,0.4744509384704987,0.03133321052367155,0.5052945666789662,0.014977009318897665,0.5740970504124139,0.2593226053204016,0.5165318551515862,0.5120467926867059,0.39285714285714285,0.631236442516269
equity_rotation+technical_dynamics+trend_direction+volatility_options_core,equity_rotation|technical_dynamics|trend_direction|volatility_options_core,4,84,3090,2008-04-10,2020-10-26,0.5128894837208489,0.48197352997778126,0.030915953743067603,0.5192266842133769,0.03632953995282236,0.5782523824056889,0.25782810045566207,0.5114822250214315,0.5112844062157693,0.44836272040302266,0.5742060920285159
equity_rotation+futures_core+rates_credit+technical_dynamics+volatility_options_short,equity_rotation|futures_core|rates_credit|technical_dynamics|volatility_options_short,5,84,2457,2011-01-11,2020-10-26,0.5124482504395168,0.48160409459536097,0.03084415584415584,0.511292988248079,0.03141464858157624,0.5689440050240344,0.26356248206182603,0.5178535983666988,0.517856904743914,0.4419889502762431,0.5937248592115849
breadth+rates_credit,breadth|rates_credit,2,52,3368,2007-06-08,2020-10-26,0.5050175189843269,0.4744509384704987,0.030566580513828212,0.504517549505466,0.030444513814640764,0.5817255319070636,0.26124796143296825,0.5170314671847002,0.515368830512323,0.4143222506393862,0.6164154103852596
breadth+futures_core+interaction_consensus+technical_dynamics+volatility_options_short,breadth|futures_core|interaction_consensus|technical_dynamics|volatility_options_short,5,85,2457,2011-01-11,2020-10-26,0.5118385980831396,0.48160409459536097,0.03023450348777862,0.5172204950196143,0.04097867174729408,0.5908074599787632,0.26303319250653423,0.5120583564906709,0.5117203161693109,0.4253393665158371,0.5981012658227848
breadth+calendar+rates_credit+volatility_options_core+volatility_options_short,breadth|calendar|rates_credit|volatility_options_core|volatility_options_short,5,81,2399,2011-01-11,2020-10-26,0.513322039691208,0.4833344478374904,0.029987591853717632,0.5136775943683101,0.01666814669411263,0.6033174144231976,0.2608598625602302,0.5150792412455698,0.5133190570319935,0.46284501061571126,0.5637931034482758
breadth+calendar+interaction_consensus+rates_credit+volatility_options_core,breadth|calendar|interaction_consensus|rates_credit|volatility_options_core,5,87,3297,2007-06-08,2020-10-26,0.525614113268912,0.4963587109484942,0.029255402320417845,0.517969953606961,0.01630037451044964,0.5957417308018893,0.2606877223874779,0.5321950151671514,0.5306022031965453,0.4806800618238022,0.5805243445692884
technical_dynamics,technical_dynamics,1,42,3368,2007-06-08,2020-10-26,0.5034247148862057,0.4744509384704987,0.028973776415706975,0.5029705044707443,0.016934857556046717,0.5803745173569259,0.26066616088484273,0.5159959584456763,0.5084487534626039,0.49584487534626037,0.5210526315789473
calendar+futures_core+interaction_consensus+technical_dynamics,calendar|futures_core|interaction_consensus|technical_dynamics,4,73,3362,2007-06-08,2020-10-26,0.5116463925546877,0.4828885746775593,0.02875781787712839,0.5127773240480845,0.01366682670624451,0.578199848305578,0.2589305020506418,0.5177211449262351,0.516383608442388,0.46926536731634183,0.5635018495684341
calendar+equity_rotation+interaction_consensus+technical_dynamics,calendar|equity_rotation|interaction_consensus|technical_dynamics,4,73,3364,2007-06-08,2020-10-26,0.520258382907665,0.4915145890176082,0.028743793890056824,0.5230320127757042,0.014522673721004428,0.5913384240015491,0.2575783471835148,0.5272789282998613,0.5270812679387641,0.46417445482866043,0.5899880810488677
calendar+technical_dynamics,calendar|technical_dynamics,2,51,3368,2007-06-08,2020-10-26,0.5030860579401097,0.4744509384704987,0.02863511946961106,0.5099862743664522,0.03825897968307155,0.5685958550773277,0.25917189401295254,0.5202049804900106,0.5190138171879745,0.4222972972972973,0.6157303370786517
equity_rotation+futures_core+macro_cross_asset+technical_dynamics+volatility_options_short,equity_rotation|futures_core|macro_cross_asset|technical_dynamics|volatility_options_short,5,76,2451,2011-01-11,2020-10-26,0.5115209840758761,0.48296750564894103,0.028553478426935064,0.512547643004134,0.021516719503674994,0.5749111279084727,0.2636730843929147,0.521401722703924,0.5083270434977077,0.514760147601476,0.5018939393939394
