trade_date,actual_log_return,sarimax_prediction,is_out_of_sample,data_split,forecast_mode,oof_fold
2017-09-06,0.003407972920508354,0.0004699934690594868,True,validation,one_step_walk_forward,
2017-09-07,-0.00012150912368609306,-0.00012542422128952068,True,validation,one_step_walk_forward,
2017-09-08,-0.001175370640639,6.977088686432206e-05,True,validation,one_step_walk_forward,
2017-09-11,0.010609449593480138,0.00012964903395090797,True,validation,one_step_walk_forward,
2017-09-12,0.0033649686098124413,-0.0005269323740456832,True,validation,one_step_walk_forward,
2017-09-13,0.0004797693782589755,-0.00011729667650443825,True,validation,one_step_walk_forward,
2017-09-14,-0.00031984101313377365,4.820821157079453e-05,True,validation,one_step_walk_forward,
2017-09-15,-0.0036051709400428365,9.371991996206874e-05,True,validation,one_step_walk_forward,
2017-09-18,0.0021246275872453704,0.0002785098691603146,True,validation,one_step_walk_forward,
2017-09-19,0.0010006204632380786,-4.154388296283732e-05,True,validation,one_step_walk_forward,
2017-09-20,0.0003599637585029596,2.2966670721281355e-05,True,validation,one_step_walk_forward,
2017-09-21,-0.002682945539843174,6.242696571137864e-05,True,validation,one_step_walk_forward,
2017-09-22,0.00020048133328691878,0.00023332984347460044,True,validation,one_step_walk_forward,
2017-09-25,-0.002046712076003897,7.014606383594458e-05,True,validation,one_step_walk_forward,
2017-09-26,0.0006024343345111111,0.00019329170911005779,True,validation,one_step_walk_forward,
2017-09-27,0.0038867727139802652,4.6265936173940424e-05,True,validation,one_step_walk_forward,
2017-09-28,0.0011990530863811022,-0.0001338614148306178,True,validation,one_step_walk_forward,
2017-09-29,0.003508874052771569,1.830301815420762e-05,True,validation,one_step_walk_forward,
2017-10-02,0.004329315033571895,-0.00010849451157372755,True,validation,one_step_walk_forward,
2017-10-03,0.0021378260553165727,-0.000153674156718265,True,validation,one_step_walk_forward,
2017-10-04,0.0011857360751527833,-3.116548992623603e-05,True,validation,one_step_walk_forward,
2017-10-05,0.005907622152979601,2.1968000051497574e-05,True,validation,one_step_walk_forward,
